row_type,candidate,architecture,feature_count,sensor_channels,train_rows,validation_rows,threshold_train_zero_fp,validation_auroc,validation_auprc,zero_fp_recall,valid_positive_foot_runs,detected_positive_foot_runs,coverage_fraction,normal_fp_runs,ice_cross_hazard_fp_runs,too_early_firings,invalid_firings,air_firings,touchdown_firings,post_fall_firings,median_pre_onset_risk_margin_ms,parameter_count,state_memory_bytes,history_memory_bytes,memory_bytes,macs,latency_ms,estimated_e84_latency_ms,expected_vela_compatibility,future_sample_count,hazard,run_id,profile_name,role,speed_mps,foot,positive_run,detected,any_firing,first_physical_onset_sample,first_detected_sample,pre_onset_risk_margin_ms,max_score,threshold
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_hardened_0p15_v03,sand_walking_support_v1_hardened,hard_negative,0.15,right,False,False,False,,,,0.39155760229835895,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,ice_native_0p15_v03,ice,slip_candidate,0.15,left,True,False,False,279,,,0.9999996492873036,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,ice_native_0p15_v03,ice,slip_candidate,0.15,right,True,False,False,2919,,,0.99969706971487,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_1of3_0p15_v03,sand_solref_interpolation_1of3,sink_candidate,0.15,left,False,False,False,,,,0.039614994911848694,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_1of3_0p15_v03,sand_solref_interpolation_1of3,sink_candidate,0.15,right,False,False,False,,,,0.09860256934430765,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_2of3_0p15_v03,sand_solref_interpolation_2of3,sink_candidate,0.15,left,True,False,False,1779,,,0.9999999460326316,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_2of3_0p15_v03,sand_solref_interpolation_2of3,sink_candidate,0.15,right,True,False,False,1799,,,0.9999988803941505,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_3of4_stronger_v2_0p15_v03,sand_solref_interpolation_3of4_stronger_v2,sink_candidate,0.15,left,True,False,False,1799,,,0.9999999933863886,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_3of4_stronger_v2_0p15_v03,sand_solref_interpolation_3of4_stronger_v2,sink_candidate,0.15,right,True,False,True,1819,,,0.9999999899670567,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_5of6_stronger_v2_0p15_v03,sand_solref_interpolation_5of6_stronger_v2,sink_candidate,0.15,left,True,False,False,1739,,,0.9999999995743403,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_5of6_stronger_v2_0p15_v03,sand_solref_interpolation_5of6_stronger_v2,sink_candidate,0.15,right,True,False,False,1769,,,0.9999136313285407,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,marble_native_0p20_v03,marble,hard_negative,0.2,left,False,False,False,,,,0.16208433247467352,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,marble_native_0p20_v03,marble,hard_negative,0.2,right,False,False,False,,,,0.7872031206899095,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,concrete_native_0p20_v03,concrete,hard_negative,0.2,left,False,False,False,,,,0.1412037785333866,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,concrete_native_0p20_v03,concrete,hard_negative,0.2,right,False,False,False,,,,0.7125803876561072,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_hardened_0p20_v03,sand_walking_support_v1_hardened,hard_negative,0.2,left,False,False,False,,,,0.16716010934150613,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_hardened_0p20_v03,sand_walking_support_v1_hardened,hard_negative,0.2,right,False,False,False,,,,0.3764219593028285,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,ice_native_0p20_v03,ice,slip_candidate,0.2,left,True,False,False,239,,,0.9999905092855749,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,ice_native_0p20_v03,ice,slip_candidate,0.2,right,True,False,False,939,,,0.9996656500779281,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_1of3_0p20_v03,sand_solref_interpolation_1of3,sink_candidate,0.2,left,False,False,False,,,,0.03678485718455417,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_1of3_0p20_v03,sand_solref_interpolation_1of3,sink_candidate,0.2,right,False,False,False,,,,0.10214889909604577,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_2of3_0p20_v03,sand_solref_interpolation_2of3,sink_candidate,0.2,left,False,False,False,,,,0.01960620450098117,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_2of3_0p20_v03,sand_solref_interpolation_2of3,sink_candidate,0.2,right,False,False,False,,,,0.03380315138625796,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_3of4_stronger_v2_0p20_v03,sand_solref_interpolation_3of4_stronger_v2,sink_candidate,0.2,left,False,False,False,,,,0.017808550506684295,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_3of4_stronger_v2_0p20_v03,sand_solref_interpolation_3of4_stronger_v2,sink_candidate,0.2,right,False,False,False,,,,0.027189855505181305,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_5of6_stronger_v2_0p20_v03,sand_solref_interpolation_5of6_stronger_v2,sink_candidate,0.2,left,False,False,False,,,,0.013140304805474012,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_5of6_stronger_v2_0p20_v03,sand_solref_interpolation_5of6_stronger_v2,sink_candidate,0.2,right,False,False,False,,,,0.02019257189423706,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,marble_native_0p10_v04,marble,hard_negative,0.1,left,False,False,False,,,,0.09012358099591208,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,marble_native_0p10_v04,marble,hard_negative,0.1,right,False,False,False,,,,0.271223908929504,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,concrete_native_0p10_v04,concrete,hard_negative,0.1,left,False,False,False,,,,0.12789745881562284,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,concrete_native_0p10_v04,concrete,hard_negative,0.1,right,False,False,False,,,,0.20922221089734225,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_hardened_0p10_v04,sand_walking_support_v1_hardened,hard_negative,0.1,left,False,False,False,,,,0.02935360046110527,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_hardened_0p10_v04,sand_walking_support_v1_hardened,hard_negative,0.1,right,False,False,False,,,,0.06945911017584289,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,ice_native_0p10_v04,ice,slip_candidate,0.1,left,True,False,False,239,,,0.9999962839069936,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,ice_native_0p10_v04,ice,slip_candidate,0.1,right,True,False,False,349,,,0.999976304659985,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_1of3_0p10_v04,sand_solref_interpolation_1of3,sink_candidate,0.1,left,False,False,False,,,,0.014079959485445027,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_1of3_0p10_v04,sand_solref_interpolation_1of3,sink_candidate,0.1,right,False,False,False,,,,0.01907547777584253,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_2of3_0p10_v04,sand_solref_interpolation_2of3,sink_candidate,0.1,left,True,False,False,2409,,,0.999946153158546,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_2of3_0p10_v04,sand_solref_interpolation_2of3,sink_candidate,0.1,right,True,False,False,1839,,,0.9999899814967578,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_3of4_stronger_v2_0p10_v04,sand_solref_interpolation_3of4_stronger_v2,sink_candidate,0.1,left,False,False,False,,,,0.809799142879361,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_3of4_stronger_v2_0p10_v04,sand_solref_interpolation_3of4_stronger_v2,sink_candidate,0.1,right,True,False,False,1859,,,0.9999919213747628,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_5of6_stronger_v2_0p10_v04,sand_solref_interpolation_5of6_stronger_v2,sink_candidate,0.1,left,False,False,False,,,,0.6642535112648732,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_5of6_stronger_v2_0p10_v04,sand_solref_interpolation_5of6_stronger_v2,sink_candidate,0.1,right,True,False,False,1859,,,0.9997316050271052,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,marble_native_0p15_v04,marble,hard_negative,0.15,left,False,False,False,,,,0.16911152681126757,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,marble_native_0p15_v04,marble,hard_negative,0.15,right,False,False,False,,,,0.2723393316661887,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,concrete_native_0p15_v04,concrete,hard_negative,0.15,left,False,False,False,,,,0.04325879808786883,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,concrete_native_0p15_v04,concrete,hard_negative,0.15,right,False,False,False,,,,0.20996514504088842,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_hardened_0p15_v04,sand_walking_support_v1_hardened,hard_negative,0.15,left,False,False,False,,,,0.032014045859207335,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_hardened_0p15_v04,sand_walking_support_v1_hardened,hard_negative,0.15,right,False,False,False,,,,0.09709453927864345,0.9999993264957171
