candidate_id,config_id,confidence_threshold,dwell_endpoints,minimum_contact_age_ms,terrain_accuracy,terrain_macro_f1,event_count,event_detected,event_recall,run_count,run_detected,run_recall,output_count,precision,f1,detected_within_20ms,recall_within_20ms,median_latency_ms,p95_latency_ms,normal_run_fp,normal_run_count,normal_run_fp_rate,normal_contact_fp,normal_contact_count,normal_contact_fp_rate,too_early,wrong_case_output,post_fall_output,invalid_output,duplicate_output,latch_carryover,cross_foot_output,per_speed_recall_within_20ms,per_hard_source_recall_within_20ms,grouped_variation_fold_count,independent_source_family_count,direct_gate_pass
T1_LINEAR_200,p0.90_d2_a5,0.9,2,5,0.5649268865407194,0.555590077076052,67,0,0.0,59,0,0.0,48,0.0,0.0,0,0.0,,,36,360,0.1,48,8243,0.005823122649520805,0,44,21,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
T1_LINEAR_200,p0.90_d2_a10,0.9,2,10,0.5649268865407194,0.555590077076052,67,0,0.0,59,0,0.0,46,0.0,0.0,0,0.0,,,36,360,0.1,46,8243,0.005580492539124105,0,42,18,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
T1_LINEAR_200,p0.90_d3_a5,0.9,3,5,0.5649268865407194,0.555590077076052,67,0,0.0,59,0,0.0,38,0.0,0.0,0,0.0,,,30,360,0.08333333333333333,38,8243,0.004609972097537304,0,34,17,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
T1_LINEAR_200,p0.90_d3_a10,0.9,3,10,0.5649268865407194,0.555590077076052,67,0,0.0,59,0,0.0,34,0.0,0.0,0,0.0,,,28,360,0.07777777777777778,34,8243,0.004124711876743904,0,30,15,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
T2_LINEAR_200,p0.50_d1_a5,0.5,1,5,0.5798484363325862,0.5750707966188,67,41,0.6119402985074627,59,41,0.6949152542372882,498,0.0823293172690763,0.14513274336283186,1,0.014925373134328358,139.0,555.0,186,360,0.5166666666666667,457,8243,0.055440980225646,15,382,58,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.041666666666666664}","{""concrete"": 0.030303030303030304, ""marble"": 0.0}",5,1,False
T2_LINEAR_200,p0.50_d1_a10,0.5,1,10,0.5798484363325862,0.5750707966188,67,44,0.6567164179104478,59,44,0.7457627118644068,504,0.0873015873015873,0.15411558669001751,1,0.014925373134328358,139.0,554.4,191,360,0.5305555555555556,460,8243,0.05580492539124105,15,387,64,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.041666666666666664}","{""concrete"": 0.030303030303030304, ""marble"": 0.0}",5,1,False
T2_LINEAR_200,p0.50_d2_a5,0.5,2,5,0.5798484363325862,0.5750707966188,67,40,0.5970149253731343,59,40,0.6779661016949152,340,0.11764705882352941,0.19656019656019652,0,0.0,158.0,469.8999999999994,155,360,0.4305555555555556,300,8243,0.036394516559505034,11,252,42,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
T2_LINEAR_200,p0.50_d2_a10,0.5,2,10,0.5798484363325862,0.5750707966188,67,42,0.6268656716417911,59,42,0.711864406779661,340,0.12352941176470589,0.2063882063882064,0,0.0,159.0,666.0999999999991,152,360,0.4222222222222222,298,8243,0.036151886449108335,11,256,47,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
T2_LINEAR_200,p0.50_d3_a5,0.5,3,5,0.5798484363325862,0.5750707966188,67,32,0.47761194029850745,59,32,0.5423728813559322,247,0.12955465587044535,0.20382165605095545,0,0.0,171.5,585.3499999999998,123,360,0.3416666666666667,215,8243,0.026082736867645274,11,177,32,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
T2_LINEAR_200,p0.50_d3_a10,0.5,3,10,0.5798484363325862,0.5750707966188,67,33,0.4925373134328358,59,33,0.559322033898305,239,0.13807531380753138,0.21568627450980393,0,0.0,169.0,461.8,118,360,0.3277777777777778,206,8243,0.024990901370860123,11,166,32,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
T2_LINEAR_200,p0.65_d1_a5,0.65,1,5,0.5798484363325862,0.5750707966188,67,30,0.44776119402985076,59,30,0.5084745762711864,337,0.08902077151335312,0.1485148514851485,0,0.0,148.0,576.4999999999999,152,360,0.4222222222222222,307,8243,0.03724372194589348,11,266,55,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
T2_LINEAR_200,p0.65_d1_a10,0.65,1,10,0.5798484363325862,0.5750707966188,67,34,0.5074626865671642,59,34,0.576271186440678,345,0.09855072463768116,0.1650485436893204,0,0.0,157.5,535.2999999999995,155,360,0.4305555555555556,311,8243,0.03772898216668689,11,272,56,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
T2_LINEAR_200,p0.65_d2_a5,0.65,2,5,0.5798484363325862,0.5750707966188,67,23,0.34328358208955223,59,23,0.3898305084745763,187,0.12299465240641712,0.18110236220472442,1,0.014925373134328358,175.0,593.9999999999999,109,360,0.30277777777777776,164,8243,0.01989566905252942,5,143,37,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.041666666666666664}","{""concrete"": 0.0, ""marble"": 0.029411764705882353}",5,1,False
