run_id,pair_id,role,speed_mps,target_foot,target_phase,actual_onset_phase,severity,material_profile,control_type,variation_index,actual_first_affected_foot,target_touchdown_sample,target_touchdown_time_s,target_physical_onset_sample,target_physical_onset_time_s,touchdown_to_onset_ms,target_contact_episode_id,contralateral_physical_slip_contamination,valid_target_positive,wrong_foot_onset,bilateral_ambiguous,no_onset,fall_occurred,first_fall_sample,fall_reason,post_fall_excluded_sample_count,discarded,replaced,silently_relabelled
positive_0p20_right_early_loading_native_strong_ice_v1,pair_091,positive,0.2,right,early_loading,none,native_strong_ice,native_strong_ice,hard_normal,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p20_right_early_loading_native_strong_ice_v2,pair_092,positive,0.2,right,early_loading,none,native_strong_ice,native_strong_ice,near_slip_non_event,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p20_right_early_loading_moderate_ice_preregistered_v0,pair_093,positive,0.2,right,early_loading,none,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p20_right_early_loading_moderate_ice_preregistered_v1,pair_094,positive,0.2,right,early_loading,none,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p20_right_early_loading_moderate_ice_preregistered_v2,pair_095,positive,0.2,right,early_loading,none,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p20_right_mid_loading_early_stance_native_strong_ice_v0,pair_096,positive,0.2,right,mid_loading_early_stance,none,native_strong_ice,native_strong_ice,hard_normal,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p20_right_mid_loading_early_stance_native_strong_ice_v1,pair_097,positive,0.2,right,mid_loading_early_stance,none,native_strong_ice,native_strong_ice,near_slip_non_event,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p20_right_mid_loading_early_stance_native_strong_ice_v2,pair_098,positive,0.2,right,mid_loading_early_stance,none,native_strong_ice,native_strong_ice,hard_normal,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p20_right_mid_loading_early_stance_moderate_ice_preregistered_v0,pair_099,positive,0.2,right,mid_loading_early_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p20_right_mid_loading_early_stance_moderate_ice_preregistered_v1,pair_100,positive,0.2,right,mid_loading_early_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
