run_id,pair_id,role,speed_mps,target_foot,target_phase,actual_onset_phase,severity,material_profile,control_type,variation_index,actual_first_affected_foot,target_touchdown_sample,target_touchdown_time_s,target_physical_onset_sample,target_physical_onset_time_s,touchdown_to_onset_ms,target_contact_episode_id,contralateral_physical_slip_contamination,valid_target_positive,wrong_foot_onset,bilateral_ambiguous,no_onset,fall_occurred,first_fall_sample,fall_reason,post_fall_excluded_sample_count,discarded,replaced,silently_relabelled,physical_slip_foot_count,physical_slip_onset_free,stable_loaded_contact_coverage,valid_control_source
control_0p20_left_mid_loading_early_stance_native_strong_ice_v0,pair_078,control,0.2,left,mid_loading_early_stance,none,native_strong_ice,near_slip_non_event,near_slip_non_event,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p20_left_mid_loading_early_stance_native_strong_ice_v1,pair_079,control,0.2,left,mid_loading_early_stance,none,native_strong_ice,hard_normal,hard_normal,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p20_left_mid_loading_early_stance_native_strong_ice_v2,pair_080,control,0.2,left,mid_loading_early_stance,none,native_strong_ice,near_slip_non_event,near_slip_non_event,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p20_left_mid_loading_early_stance_moderate_ice_preregistered_v0,pair_081,control,0.2,left,mid_loading_early_stance,none,moderate_ice_preregistered,hard_normal,hard_normal,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p20_left_mid_loading_early_stance_moderate_ice_preregistered_v1,pair_082,control,0.2,left,mid_loading_early_stance,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p20_left_mid_loading_early_stance_moderate_ice_preregistered_v2,pair_083,control,0.2,left,mid_loading_early_stance,none,moderate_ice_preregistered,hard_normal,hard_normal,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p20_left_mid_late_stance_native_strong_ice_v0,pair_084,control,0.2,left,mid_late_stance,none,native_strong_ice,hard_normal,hard_normal,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p20_left_mid_late_stance_native_strong_ice_v1,pair_085,control,0.2,left,mid_late_stance,none,native_strong_ice,near_slip_non_event,near_slip_non_event,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p20_left_mid_late_stance_native_strong_ice_v2,pair_086,control,0.2,left,mid_late_stance,none,native_strong_ice,hard_normal,hard_normal,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p20_left_mid_late_stance_moderate_ice_preregistered_v0,pair_087,control,0.2,left,mid_late_stance,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p20_left_mid_late_stance_moderate_ice_preregistered_v1,pair_088,control,0.2,left,mid_late_stance,none,moderate_ice_preregistered,hard_normal,hard_normal,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p20_left_mid_late_stance_moderate_ice_preregistered_v2,pair_089,control,0.2,left,mid_late_stance,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p20_right_early_loading_native_strong_ice_v0,pair_090,control,0.2,right,early_loading,none,native_strong_ice,near_slip_non_event,near_slip_non_event,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p20_right_early_loading_native_strong_ice_v1,pair_091,control,0.2,right,early_loading,none,native_strong_ice,hard_normal,hard_normal,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p20_right_early_loading_native_strong_ice_v2,pair_092,control,0.2,right,early_loading,none,native_strong_ice,near_slip_non_event,near_slip_non_event,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p20_right_early_loading_moderate_ice_preregistered_v0,pair_093,control,0.2,right,early_loading,none,moderate_ice_preregistered,hard_normal,hard_normal,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p20_right_early_loading_moderate_ice_preregistered_v1,pair_094,control,0.2,right,early_loading,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p20_right_early_loading_moderate_ice_preregistered_v2,pair_095,control,0.2,right,early_loading,none,moderate_ice_preregistered,hard_normal,hard_normal,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p20_right_mid_loading_early_stance_native_strong_ice_v0,pair_096,control,0.2,right,mid_loading_early_stance,none,native_strong_ice,hard_normal,hard_normal,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p20_right_mid_loading_early_stance_native_strong_ice_v1,pair_097,control,0.2,right,mid_loading_early_stance,none,native_strong_ice,near_slip_non_event,near_slip_non_event,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p20_right_mid_loading_early_stance_native_strong_ice_v2,pair_098,control,0.2,right,mid_loading_early_stance,none,native_strong_ice,hard_normal,hard_normal,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p20_right_mid_loading_early_stance_moderate_ice_preregistered_v0,pair_099,control,0.2,right,mid_loading_early_stance,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p20_right_mid_loading_early_stance_moderate_ice_preregistered_v1,pair_100,control,0.2,right,mid_loading_early_stance,none,moderate_ice_preregistered,hard_normal,hard_normal,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p20_right_mid_loading_early_stance_moderate_ice_preregistered_v2,pair_101,control,0.2,right,mid_loading_early_stance,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p20_right_mid_late_stance_native_strong_ice_v0,pair_102,control,0.2,right,mid_late_stance,none,native_strong_ice,near_slip_non_event,near_slip_non_event,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
