pair_id,positive_run_id,control_run_id,pair_fingerprint,speed_mps,target_foot,target_phase,severity,control_type,variation_index,seed,initial_policy_observation_equal,command_timing_equal,gait_phase_equal,target_touchdown_equal,speed_equal,patch_geometry_equal,seed_equal,duration_equal,timestamps_equal,non_material_configuration_equal,only_material_profile_differs,parity_pass
pair_035,positive_0p10_right_mid_late_stance_moderate_ice_preregistered_v2,control_0p10_right_mid_late_stance_moderate_ice_preregistered_v2,bd3565aae25a5552bbb7ae694dc15fcbf0cbd26ef9bb1b939a3b81c8911ccc4b,0.1,right,mid_late_stance,moderate_ice_preregistered,hard_normal,2,202608335,True,True,True,True,True,True,True,True,True,True,True,True
pair_036,positive_0p15_left_early_loading_native_strong_ice_v0,control_0p15_left_early_loading_native_strong_ice_v0,686675b87cf16e7537f01cb5a5b6b62fbbb947b2ad428c86b255005d02aec0db,0.15,left,early_loading,native_strong_ice,hard_normal,0,202608336,True,True,True,True,True,True,True,True,True,True,True,True
pair_037,positive_0p15_left_early_loading_native_strong_ice_v1,control_0p15_left_early_loading_native_strong_ice_v1,b2290b42b439b7a738b385d24ce9b68eabad293ba7bc2e265273291aada94173,0.15,left,early_loading,native_strong_ice,near_slip_non_event,1,202608337,True,True,True,True,True,True,True,True,True,True,True,True
pair_038,positive_0p15_left_early_loading_native_strong_ice_v2,control_0p15_left_early_loading_native_strong_ice_v2,30fe8280cb4a8dbd27692e41b3172af7aa1f5ec76d381535dbdeade8c43e0bce,0.15,left,early_loading,native_strong_ice,hard_normal,2,202608338,True,True,True,True,True,True,True,True,True,True,True,True
pair_039,positive_0p15_left_early_loading_moderate_ice_preregistered_v0,control_0p15_left_early_loading_moderate_ice_preregistered_v0,fbb7416fb26bcdbaf9e7da4f9ff6a89f819d44bf72530f1f38418d753db9fd59,0.15,left,early_loading,moderate_ice_preregistered,near_slip_non_event,0,202608339,True,True,True,True,True,True,True,True,True,True,True,True
pair_040,positive_0p15_left_early_loading_moderate_ice_preregistered_v1,control_0p15_left_early_loading_moderate_ice_preregistered_v1,e9c2567ea41ed2ceb23ed682f8795d62deba23c1ef0d91bb2529440ed79a9165,0.15,left,early_loading,moderate_ice_preregistered,hard_normal,1,202608340,True,True,True,True,True,True,True,True,True,True,True,True
pair_041,positive_0p15_left_early_loading_moderate_ice_preregistered_v2,control_0p15_left_early_loading_moderate_ice_preregistered_v2,2c6945529e5bb12dbff6e43b51a49cf6ae3b976e1b16ac80050e5edf59a1f37b,0.15,left,early_loading,moderate_ice_preregistered,near_slip_non_event,2,202608341,True,True,True,True,True,True,True,True,True,True,True,True
pair_042,positive_0p15_left_mid_loading_early_stance_native_strong_ice_v0,control_0p15_left_mid_loading_early_stance_native_strong_ice_v0,075aa33e8943d4e4f99f7c9a83f53ea7c83a65a30b263fd1f289b435db697ec2,0.15,left,mid_loading_early_stance,native_strong_ice,near_slip_non_event,0,202608342,True,True,True,True,True,True,True,True,True,True,True,True
pair_043,positive_0p15_left_mid_loading_early_stance_native_strong_ice_v1,control_0p15_left_mid_loading_early_stance_native_strong_ice_v1,3b22f6c99db16b427f29388abb4b57ca65b660985f8337b81e0af9729ca8c417,0.15,left,mid_loading_early_stance,native_strong_ice,hard_normal,1,202608343,True,True,True,True,True,True,True,True,True,True,True,True
pair_044,positive_0p15_left_mid_loading_early_stance_native_strong_ice_v2,control_0p15_left_mid_loading_early_stance_native_strong_ice_v2,a17bd66fd3718b53ab54ba7f531b344457bec5c661ab8eadb484fb5130134992,0.15,left,mid_loading_early_stance,native_strong_ice,near_slip_non_event,2,202608344,True,True,True,True,True,True,True,True,True,True,True,True
pair_045,positive_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v0,control_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v0,1eb4032fde0d45e058f038912829771a9a4387124f9c88a5841ca1f8c9fc13f2,0.15,left,mid_loading_early_stance,moderate_ice_preregistered,hard_normal,0,202608345,True,True,True,True,True,True,True,True,True,True,True,True
pair_046,positive_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v1,control_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v1,d832e02ce2d7bc0153cf54519f4f746efd7999ee4c36d1f741e2d2508a3e6ec1,0.15,left,mid_loading_early_stance,moderate_ice_preregistered,near_slip_non_event,1,202608346,True,True,True,True,True,True,True,True,True,True,True,True
pair_047,positive_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v2,control_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v2,55d4f3fdd85fb84cb0e73cbad4f04153578d470c5d522f7540d44cf5c95ab20b,0.15,left,mid_loading_early_stance,moderate_ice_preregistered,hard_normal,2,202608347,True,True,True,True,True,True,True,True,True,True,True,True
pair_048,positive_0p15_left_mid_late_stance_native_strong_ice_v0,control_0p15_left_mid_late_stance_native_strong_ice_v0,5fe2744b50ec278c12c040cd506d8118918af873d659440e8ffcb4ce81e52d86,0.15,left,mid_late_stance,native_strong_ice,hard_normal,0,202608348,True,True,True,True,True,True,True,True,True,True,True,True
pair_049,positive_0p15_left_mid_late_stance_native_strong_ice_v1,control_0p15_left_mid_late_stance_native_strong_ice_v1,b2e13e2a4a3b69af7ca94516a412910549fee0ee766bb861d62ce8c3f7445dc1,0.15,left,mid_late_stance,native_strong_ice,near_slip_non_event,1,202608349,True,True,True,True,True,True,True,True,True,True,True,True
