run_id,pair_id,role,target_foot,foot,contact_episode_id,episode_start_sample,episode_end_sample_exclusive,physical_onset_sample,maximum_anchor_drift_m,pre_fall_valid_sample_count,air_event_counted,post_fall_event_counted
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,79,1291,1292,,0.0,1,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,80,1293,1295,,0.001939447014592588,2,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,81,1296,1300,,0.006078564561903477,4,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,82,1301,1306,,0.00921629462391138,5,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,83,1309,1313,,0.0078121693804860115,4,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,84,1321,1323,,0.002646993612870574,2,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,85,1757,1874,,,0,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,86,2629,2634,,,0,False,False
control_0p20_right_early_native_strong_ice,pilot_pair_18,control,right,left,0,36,240,,0.0024009651970118284,204,False,False
control_0p20_right_early_native_strong_ice,pilot_pair_18,control,right,left,1,562,907,,0.0014591760700568557,345,False,False
control_0p20_right_early_native_strong_ice,pilot_pair_18,control,right,left,2,1168,1488,,0.0031282915733754635,320,False,False
control_0p20_right_early_native_strong_ice,pilot_pair_18,control,right,left,3,1766,2085,,0.003339059418067336,319,False,False
control_0p20_right_early_native_strong_ice,pilot_pair_18,control,right,left,4,2356,2685,,0.0029416654724627733,329,False,False
control_0p20_right_early_native_strong_ice,pilot_pair_18,control,right,left,5,2957,3000,,0.002991706831380725,43,False,False
control_0p20_right_early_native_strong_ice,pilot_pair_18,control,right,right,0,42,89,,0.002099675126373768,47,False,False
control_0p20_right_early_native_strong_ice,pilot_pair_18,control,right,right,1,196,603,,0.006984902545809746,407,False,False
control_0p20_right_early_native_strong_ice,pilot_pair_18,control,right,right,2,861,1206,,0.0054003335535526276,345,False,False
control_0p20_right_early_native_strong_ice,pilot_pair_18,control,right,right,3,1456,1804,,0.006762549746781588,348,False,False
control_0p20_right_early_native_strong_ice,pilot_pair_18,control,right,right,4,2047,2386,,0.00780450738966465,339,False,False
control_0p20_right_early_native_strong_ice,pilot_pair_18,control,right,right,5,2650,2985,,0.006942697335034609,335,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,left,0,36,244,,0.002390380250290036,208,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,left,1,469,782,,0.014490204863250256,313,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,left,2,936,1255,,0.022762395441532135,319,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,left,3,1256,1267,,0.0004773154796566814,11,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,left,4,1268,1281,,0.0004928658017888665,13,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,left,5,1282,1286,,8.072968921624124e-05,4,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,left,6,1287,1290,,6.288453005254269e-05,3,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,left,7,1292,1296,,0.00017754430882632732,4,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,left,8,1297,1300,,0.00018120490130968392,3,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,left,9,1442,1550,1490,0.05664486810564995,108,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,left,10,1553,1561,,0.004817781504243612,8,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,left,11,1570,1572,,0.0014031626051291823,2,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,left,12,1579,1580,,0.0,1,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,left,13,1745,1800,,0.02677544765174389,55,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,left,14,1804,1812,,0.01250475738197565,8,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,left,15,1816,1819,,,0,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,left,16,1824,1825,,,0,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,left,17,2111,2166,,,0,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,0,42,90,,0.01436748169362545,48,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,1,203,420,331,0.11639536917209625,217,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,2,421,435,,0.018988916650414467,14,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,3,436,441,,0.006483639124780893,5,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,4,443,448,,0.006336404010653496,5,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,5,450,456,,0.007734181359410286,6,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,6,458,464,,0.0075108823366463184,6,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,7,475,479,,0.003775897901505232,4,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,8,751,823,820,0.056167323142290115,72,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,9,824,845,,0.03196912631392479,21,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,10,846,850,,0.004847698844969273,4,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,11,851,858,,0.009787381626665592,7,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,12,859,863,,0.004978090059012175,4,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,13,864,869,,0.006776352412998676,5,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,14,870,879,,0.014026852324604988,9,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,15,880,884,,0.005429609213024378,4,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,16,885,888,,0.003679225454106927,3,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,17,889,892,,0.0037352247163653374,3,False,False
