outer_fold,inner_fold,reason,run_id,variation,outer_validation_member,endpoint,foot,terrain,speed_mps,phase,contact_age_ms,ipsilateral_force,contralateral_force,next_onset_distance_ms,previous_episode_distance_ms,normal_score,early_precursor_score,actionable_score,active_evidence_score,foot_score
0,0,high_normal,sand_solref_interpolation_5of6_stronger_v2_0p10_v04,4,False,2649,left,sand,0.1,3,310,513.9002685546875,500.3233642578125,-1,-1,1.0521453291897613e-06,0.00025348188040308736,0.976696281536321,0.023049184437946697,0.23642165558967307
0,0,high_normal,ice_native_0p20_v01,1,False,2019,right,ice,0.2,2,14,184.3933563232422,0.0,-1,148,1.2187817281583796e-09,8.00861949710276e-25,0.976993271705823,0.023006727075395406,0.9999997787141209
0,0,high_normal,sand_solref_interpolation_3of4_stronger_v2_0p10_v01,1,False,1289,right,sand,0.1,3,83,262.6805419921875,452.0120849609375,-1,-1,0.0001303511080430118,0.002013379490854009,0.9773446929579235,0.020511576443179518,3.4040987198575436e-07
0,0,high_normal,ice_native_0p20_v04,4,False,2619,left,ice,0.2,2,14,146.75509643554688,199.56716918945312,-1,22,6.100092875477898e-05,1.7864559721927895e-08,0.9780547944009621,0.021884186805723366,1.2082718850389068e-12
0,0,high_normal,sand_solref_interpolation_3of4_stronger_v2_0p10_v04,4,False,1499,right,sand,0.1,3,533,137.36224365234375,445.88360595703125,-1,-1,0.0008881353753397297,0.019865942058535417,0.978896874162344,0.000349048403780964,0.616360607723715
0,0,high_normal,ice_native_0p15_v04,4,False,2929,left,ice,0.15,2,29,880.8857421875,0.0,-1,877,0.00036430649181190826,0.003989771398421216,0.9792579013127134,0.0163880207970534,0.9064202725275058
0,0,high_normal,sand_solref_interpolation_5of6_stronger_v2_0p10_v04,4,False,2579,left,sand,0.1,3,240,335.8600158691406,143.4790802001953,-1,-1,0.008164230912487016,4.204616837978718e-09,0.9793674179812026,0.012468346901693461,0.015388219583004169
0,0,high_normal,sand_solref_interpolation_5of6_stronger_v2_0p10_v01,1,False,1229,right,sand,0.1,3,44,92.2684326171875,395.5209045410156,-1,-1,2.4319364739622015e-05,0.02038113888036612,0.9795936940124076,8.477424866115549e-07,1.1810007813374217e-06
0,0,high_normal,sand_solref_interpolation_3of4_stronger_v2_0p15_v01,1,False,1609,left,sand,0.15,3,58,582.339599609375,380.8976745605469,-1,-1,3.609208813743287e-18,1.912898686853207e-27,0.9798917851585814,0.020108214841418583,0.9976902976813452
0,0,high_normal,ice_native_0p15_v04,4,False,1339,right,ice,0.15,2,17,60.89582443237305,205.000732421875,-1,264,0.0004040575087475724,0.017941433255003105,0.9816545082355939,1.0006556463799987e-09,4.5128262102665615e-06
0,0,high_normal,ice_native_0p10_v04,4,False,1929,right,ice,0.1,3,72,138.13284301757812,203.44635009765625,-1,265,7.094794771593239e-09,4.4766262590763876e-07,0.9824051514097714,0.01759439383280782,0.999788602114206
0,0,high_normal,ice_native_0p15_v01,1,False,2319,right,ice,0.15,2,13,700.32763671875,57.842830657958984,-1,540,1.9956561556059878e-12,0.017208876247026304,0.9827909703752992,1.533756788876236e-07,0.9995594875163879
0,0,high_normal,sand_solref_interpolation_5of6_stronger_v2_0p10_v04,4,False,2589,left,sand,0.1,3,250,363.3502502441406,171.25070190429688,-1,-1,0.005477187812408014,1.4256443938120105e-08,0.9829150140277312,0.011607783903416812,0.02167767978997896
0,0,high_normal,sand_solref_interpolation_5of6_stronger_v2_0p10_v04,4,False,2049,left,sand,0.1,3,181,265.90301513671875,0.0,-1,-1,1.513743407550822e-20,2.1958035539798062e-26,0.9842390434125096,0.015760956587490466,0.9999999999952349
0,0,high_normal,sand_solref_interpolation_5of6_stronger_v2_0p10_v04,4,False,2569,left,sand,0.1,3,230,340.714111328125,145.86434936523438,-1,-1,0.0052653782525730365,2.127464376683485e-09,0.9854520866755226,0.009282532944439991,0.03933947122362537
0,0,high_normal,ice_native_0p10_v04,4,False,2989,right,ice,0.1,2,28,259.86785888671875,243.01268005371094,-1,352,3.648451978511054e-14,0.00935290087755175,0.986420188431523,0.004226910690888857,0.27599492264283076
0,0,high_normal,ice_native_0p20_v01,1,False,2659,left,ice,0.2,2,14,449.1184997558594,60.9911994934082,-1,300,4.055580375165129e-09,0.01338270698901115,0.9866172885995887,3.558196979414277e-10,0.00012446781190084035
0,0,high_normal,sand_solref_interpolation_2of3_0p15_v01,1,False,1589,left,sand,0.15,3,33,117.07124328613281,190.8134765625,-1,-1,6.518127346319758e-13,1.4685947241019854e-21,0.9870865510793491,0.012913448919999166,2.4976215651906864e-06
0,0,high_normal,sand_solref_interpolation_2of3_0p10_v04,4,False,1869,left,sand,0.1,3,67,558.426025390625,407.55902099609375,-1,-1,1.4654329075599317e-17,1.0416595324759392e-26,0.9878095558849158,0.01219044411508425,0.9999798420383359
0,0,high_normal,sand_solref_interpolation_5of6_stronger_v2_0p15_v01,1,False,1609,left,sand,0.15,3,61,589.9974975585938,430.5546569824219,-1,-1,3.1936061886269815e-19,1.1288568693069457e-28,0.9888859488326684,0.011114051167331503,0.9999333792739147
0,0,high_normal,sand_solref_interpolation_5of6_stronger_v2_0p10_v04,4,False,2439,left,sand,0.1,3,100,107.99193572998047,351.4737854003906,-1,-1,2.9381108722668975e-06,7.88377525690216e-06,0.9891429531030856,0.010846225010785308,1.142864665463988e-05
0,0,high_normal,ice_native_0p10_v04,4,False,2459,right,ice,0.1,2,21,88.36897277832031,296.5221862792969,-1,219,2.4551819628577428e-11,6.807012404451148e-06,0.9893534486912032,0.010639744271840485,0.9999857112746807
0,0,high_normal,sand_solref_interpolation_3of4_stronger_v2_0p10_v01,1,False,1409,right,sand,0.1,4,203,338.9410705566406,1073.487548828125,-1,-1,3.2070879632203644e-21,6.6353932458214655e-15,0.989385148334648,0.010614851665345433,2.7036074561038696e-05
0,0,high_normal,ice_native_0p15_v01,1,False,2259,left,ice,0.15,3,99,241.59754943847656,0.0,-1,647,6.495227278786692e-07,2.811228579212535e-07,0.9897790207522255,0.010220048602188893,0.000206039425908672
0,0,high_normal,ice_native_0p20_v01,1,False,2299,right,ice,0.2,2,13,118.57757568359375,228.86721801757812,-1,13,2.6871062869929587e-11,1.674643092040686e-11,0.9898039568722266,0.010196043084156087,0.9999976304050541
0,0,high_normal,ice_native_0p15_v01,1,False,1979,right,ice,0.15,2,21,181.80152893066406,0.0,-1,200,7.602831201726354e-09,6.952518591554589e-13,0.9901484064583962,0.009851585938077266,0.9997683540417482
0,0,high_normal,ice_native_0p10_v04,4,False,749,right,ice,0.1,3,92,167.54849243164062,209.37704467773438,-1,271,1.3971843647928348e-08,0.0013236369229880072,0.9904486781306044,0.008227670974563858,0.9608445581470372
0,0,high_normal,ice_native_0p10_v01,1,False,2489,right,ice,0.1,3,157,327.3323669433594,0.0,-1,339,1.010130840086112e-09,2.71913734917261e-11,0.9908559286616686,0.009144070301009145,0.8897913831139285
0,0,high_normal,ice_native_0p20_v04,4,False,1319,right,ice,0.2,2,24,28.435062408447266,213.96395874023438,-1,121,7.774302700070119e-07,5.683706609710563e-16,0.9909016194508562,0.009097603118873095,0.001471268064978366
0,0,high_normal,ice_native_0p20_v01,1,False,2889,right,ice,0.2,3,34,156.0361785888672,180.6875,-1,301,5.469937902135872e-07,0.008851853283630738,0.9911475990610492,6.615298338510825e-10,0.0002727133725869699
