family,seed,fold,run_id,variation,terrain,speed_mps,foot,contact_episode_id,physical_start_sample,physical_end_exclusive,raw_crossings,actionable,detected,first_detection_sample,warning_margin_ms,late_latency_ms,affected_foot_correct,post_fall_positive_attribution
S4-A,202608221,1,sand_solref_interpolation_3of4_stronger_v2_0p15_v01,1,sand,0.15,right,2,1768,1971,1,True,False,,,,,False
S4-A,202608221,1,sand_solref_interpolation_5of6_stronger_v2_0p15_v01,1,sand,0.15,left,4,1905,1915,1,True,False,,,,,False
S4-A,202608221,1,sand_solref_interpolation_5of6_stronger_v2_0p15_v01,1,sand,0.15,right,1,1575,1651,1,True,False,,,,,False
S4-A,202608221,1,sand_solref_interpolation_5of6_stronger_v2_0p15_v01,1,sand,0.15,right,2,1763,1956,1,True,False,,,,,False
S4-A,202608221,1,ice_native_0p20_v01,1,ice,0.2,left,2,360,547,1,True,True,339,21,0,True,False
S4-A,202608221,1,ice_native_0p20_v01,1,ice,0.2,left,17,1636,1697,1,True,False,,,,,False
S4-A,202608221,1,ice_native_0p20_v01,1,ice,0.2,left,35,2202,2359,3,True,True,2189,13,0,True,False
S4-A,202608221,1,ice_native_0p20_v01,1,ice,0.2,right,1,265,282,1,True,False,,,,,False
S4-A,202608221,1,ice_native_0p20_v01,1,ice,0.2,right,6,507,555,1,True,True,489,18,0,True,False
S4-A,202608221,1,ice_native_0p20_v01,1,ice,0.2,right,20,1201,1414,1,True,True,1139,62,0,True,False
S4-A,202608221,1,ice_native_0p20_v01,1,ice,0.2,right,34,1813,1871,1,True,False,,,,,False
S4-A,202608221,1,ice_native_0p20_v01,1,ice,0.2,right,55,2118,2120,1,True,False,,,,,False
S4-A,202608221,1,ice_native_0p20_v01,1,ice,0.2,right,56,2283,2286,1,True,True,2279,4,0,False,False
S4-A,202608221,1,ice_native_0p20_v01,1,ice,0.2,right,58,2586,2588,1,True,True,2499,87,0,True,False
S4-A,202608221,1,ice_native_0p10_v04,4,ice,0.1,left,0,237,274,1,True,True,219,18,0,True,False
S4-A,202608221,1,ice_native_0p10_v04,4,ice,0.1,left,7,615,863,3,True,False,,,,,False
S4-A,202608221,1,ice_native_0p10_v04,4,ice,0.1,left,30,1290,1347,1,True,False,,,,,False
S4-A,202608221,1,ice_native_0p10_v04,4,ice,0.1,left,39,1794,2044,4,True,True,1749,45,0,True,False
S4-A,202608221,1,ice_native_0p10_v04,4,ice,0.1,left,75,2438,2452,1,True,True,2339,99,0,True,False
S4-A,202608221,1,ice_native_0p10_v04,4,ice,0.1,left,86,2918,3000,1,True,True,2939,-21,21,True,False
S4-A,202608221,1,ice_native_0p10_v04,4,ice,0.1,right,3,348,366,1,True,False,,,,,False
S4-A,202608221,1,ice_native_0p10_v04,4,ice,0.1,right,4,440,478,2,True,False,,,,,False
S4-A,202608221,1,ice_native_0p10_v04,4,ice,0.1,right,20,890,988,1,True,False,,,,,False
S4-A,202608221,1,ice_native_0p10_v04,4,ice,0.1,right,20,1078,1116,1,False,True,1019,59,0,True,False
S4-A,202608221,1,ice_native_0p10_v04,4,ice,0.1,right,39,1442,1581,3,True,True,1399,43,0,True,False
S4-A,202608221,1,ice_native_0p10_v04,4,ice,0.1,right,40,1650,1664,2,True,True,1609,41,0,True,False
S4-A,202608221,1,ice_native_0p10_v04,4,ice,0.1,right,47,2238,2240,1,True,False,,,,,False
S4-A,202608221,1,ice_native_0p10_v04,4,ice,0.1,right,59,2609,2637,1,True,True,2519,90,0,True,False
S4-A,202608221,1,sand_solref_interpolation_2of3_0p10_v04,4,sand,0.1,left,44,2402,2524,1,True,False,,,,,False
S4-A,202608221,1,sand_solref_interpolation_2of3_0p10_v04,4,sand,0.1,right,2,1837,1913,1,True,True,1879,-42,42,,False
