family,seed,fold,run_id,foot,contact_loss_resets,touchdown_resets,score_recovery_resets,previous_episode_latch_carryover,cross_foot_owner_mutations,simultaneous_crossings,simultaneous_selected_left,simultaneous_selected_right,median_simultaneous_score_difference
S4-C,202608222,1,marble_native_0p15_v01,right,121,6,0,0,0,0,0,0,-1.0
S4-C,202608222,1,concrete_native_0p15_v01,left,130,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,concrete_native_0p15_v01,right,117,8,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_hardened_0p15_v01,left,127,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_hardened_0p15_v01,right,114,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,ice_native_0p15_v01,left,135,45,5,0,0,0,0,0,-1.0
S4-C,202608222,1,ice_native_0p15_v01,right,103,50,5,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_1of3_0p15_v01,left,125,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_1of3_0p15_v01,right,106,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_2of3_0p15_v01,left,150,16,2,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_2of3_0p15_v01,right,107,6,2,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_3of4_stronger_v2_0p15_v01,left,158,12,1,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_3of4_stronger_v2_0p15_v01,right,112,7,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_5of6_stronger_v2_0p15_v01,left,162,10,1,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_5of6_stronger_v2_0p15_v01,right,115,6,0,0,0,0,0,0,-1.0
S4-C,202608222,1,marble_native_0p20_v01,left,133,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,marble_native_0p20_v01,right,120,7,0,0,0,0,0,0,-1.0
S4-C,202608222,1,concrete_native_0p20_v01,left,133,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,concrete_native_0p20_v01,right,120,6,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_hardened_0p20_v01,left,127,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_hardened_0p20_v01,right,114,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,ice_native_0p20_v01,left,117,38,6,0,0,0,0,0,-1.0
S4-C,202608222,1,ice_native_0p20_v01,right,79,58,4,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_1of3_0p20_v01,left,126,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_1of3_0p20_v01,right,106,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_2of3_0p20_v01,left,125,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_2of3_0p20_v01,right,101,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_3of4_stronger_v2_0p20_v01,left,124,6,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_3of4_stronger_v2_0p20_v01,right,97,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_5of6_stronger_v2_0p20_v01,left,121,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_5of6_stronger_v2_0p20_v01,right,97,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,marble_native_0p10_v04,left,127,7,0,0,0,0,0,0,-1.0
S4-C,202608222,1,marble_native_0p10_v04,right,123,7,0,0,0,0,0,0,-1.0
S4-C,202608222,1,concrete_native_0p10_v04,left,123,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,concrete_native_0p10_v04,right,118,7,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_hardened_0p10_v04,left,124,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_hardened_0p10_v04,right,116,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,ice_native_0p10_v04,left,91,53,6,0,0,0,0,0,-1.0
