run_id,pair_id,role,target_foot,foot,actual_first_affected_foot,contact_episode_id,episode_start_sample,episode_end_sample_exclusive,touchdown_sample,physical_onset_sample,time_from_touchdown_to_onset_ms,active_physical_slip_intervals,maximum_contact_anchor_drift_m,stable_loaded_contact_valid,fall_time_s,fall_reason,first_fall_censor_boundary,post_fall_excluded_sample_count,air_mask_sample_count,touchdown_mask_sample_count,invalid_mask_sample_count,contralateral_physical_slip_contamination
cal_positive_0p10_G3,v6_cal_pair_03,positive,left,left,none,7,2384,2479,2384,,,[],0.0020678953733295202,True,,,,0,0,10,10,False
cal_positive_0p10_G3,v6_cal_pair_03,positive,left,left,none,8,2733,3000,2733,,,[],0.018644282594323158,True,,,,0,0,10,10,False
cal_positive_0p10_G3,v6_cal_pair_03,positive,left,right,none,0,37,328,37,,,[],0.002952546812593937,True,,,,0,0,10,10,False
cal_positive_0p10_G3,v6_cal_pair_03,positive,left,right,none,1,627,945,627,,,[],0.006568016018718481,True,,,,0,0,10,10,False
cal_positive_0p10_G3,v6_cal_pair_03,positive,left,right,none,2,1243,1583,1243,,,[],0.004139352589845657,True,,,,0,0,10,10,False
cal_positive_0p10_G3,v6_cal_pair_03,positive,left,right,none,3,1840,2168,1840,,,[],0.005794124212116003,True,,,,0,0,10,10,False
cal_positive_0p10_G3,v6_cal_pair_03,positive,left,right,none,4,2437,2765,2437,,,[],0.005350913852453232,True,,,,0,0,10,10,False
cal_control_0p10_G3,v6_cal_pair_03,control,left,left,none,0,39,89,39,,,[],0.0006748692831024528,True,,,,0,0,10,19,False
cal_control_0p10_G3,v6_cal_pair_03,control,left,left,none,1,304,669,304,,,[],0.007943045347929,True,,,,0,0,10,10,False
cal_control_0p10_G3,v6_cal_pair_03,control,left,left,none,2,670,681,670,,,[],0.0006741012912243605,True,,,,0,0,10,10,False
cal_control_0p10_G3,v6_cal_pair_03,control,left,left,none,3,943,1285,943,,,[],0.0016251166816800833,True,,,,0,0,10,10,False
cal_control_0p10_G3,v6_cal_pair_03,control,left,left,none,4,1554,1881,1554,,,[],0.0011577395489439368,True,,,,0,0,10,11,False
cal_control_0p10_G3,v6_cal_pair_03,control,left,left,none,5,2152,2476,2152,,,[],0.001480349455960095,True,,,,0,0,10,10,False
cal_control_0p10_G3,v6_cal_pair_03,control,left,left,none,6,2477,2483,2477,,,[],0.00024824801948852837,False,,,,0,0,6,6,False
cal_control_0p10_G3,v6_cal_pair_03,control,left,left,none,7,2749,3000,2749,,,[],0.0016053925501182675,True,,,,0,0,10,10,False
cal_control_0p10_G3,v6_cal_pair_03,control,left,right,none,0,37,328,37,,,[],0.002952546812593937,True,,,,0,0,10,10,False
cal_control_0p10_G3,v6_cal_pair_03,control,left,right,none,1,642,984,642,,,[],0.004745180252939463,True,,,,0,0,10,10,False
cal_control_0p10_G3,v6_cal_pair_03,control,left,right,none,2,1253,1604,1253,,,[],0.004573161713778973,True,,,,0,0,10,14,False
cal_control_0p10_G3,v6_cal_pair_03,control,left,right,none,3,1850,2188,1850,,,[],0.004574178252369165,True,,,,0,0,10,10,False
cal_control_0p10_G3,v6_cal_pair_03,control,left,right,none,4,2449,2785,2449,,,[],0.004689242225140333,True,,,,0,0,10,10,False
cal_positive_0p15_G0,v6_cal_pair_04,positive,left,left,none,0,39,89,39,,,[],0.0006854732637293637,True,,,,0,0,10,19,False
cal_positive_0p15_G0,v6_cal_pair_04,positive,left,left,none,1,304,668,304,,,[],0.0348089374601841,True,,,,0,0,10,21,False
cal_positive_0p15_G0,v6_cal_pair_04,positive,left,left,none,2,925,1142,925,,,[],0.006570606958121061,True,,,,0,0,10,10,False
cal_positive_0p15_G0,v6_cal_pair_04,positive,left,left,none,3,1143,1282,1143,,,[],0.002077417215332389,True,,,,0,0,10,12,False
cal_positive_0p15_G0,v6_cal_pair_04,positive,left,left,none,4,1540,1847,1540,,,[],0.029830504208803177,True,,,,0,0,10,10,False
cal_positive_0p15_G0,v6_cal_pair_04,positive,left,left,none,5,1848,1862,1848,,,[],0.0022103264927864075,True,,,,0,0,10,11,False
cal_positive_0p15_G0,v6_cal_pair_04,positive,left,left,none,6,2131,2396,2131,,,[],0.020154548808932304,True,,,,0,0,10,10,False
cal_positive_0p15_G0,v6_cal_pair_04,positive,left,left,none,7,2397,2463,2397,,,[],0.0035915628541260958,True,,,,0,0,10,13,False
cal_positive_0p15_G0,v6_cal_pair_04,positive,left,left,none,8,2729,3000,2729,,,[],0.025299804285168648,True,,,,0,0,10,10,False
cal_positive_0p15_G0,v6_cal_pair_04,positive,left,right,none,0,37,328,37,,,[],0.0030148839578032494,True,,,,0,0,10,10,False
