comparison_group,run_id,pair_id,speed_mps,target_foot,target_phase,severity,variation_index,source_valid,failure_reason,diagnostic_episode_id,touchdown_timestamp_s,first_patch_contact_timestamp_s,patch_contact_duration_ms,remaining_stance_after_patch_entry_ms,low_friction_active_duration_ms,normal_contact_force_mean_n,normal_contact_force_peak_n,tangential_contact_force_mean_n,tangential_contact_force_peak_n,friction_cone_utilization_mean,friction_cone_utilization_peak,anchor_drift_rate_mps,maximum_anchor_drift_m,target_foot_velocity_mean_mps,target_foot_velocity_peak_mps,contralateral_support_load_mean_n,patch_entry_position_xyz,patch_exit_position_xyz,physical_onset_margin_m,estimated_onset_after_contact_loss_ms,fall_occurred,first_fall_censor_boundary,model_score_used
A_FAILED_LEFT_MID_LATE_MODERATE,positive_0p10_left_mid_late_stance_moderate_ice_preregistered_v1,v5_pair_016,0.1,left,mid_late_stance,moderate_ice_preregistered,1,False,NO_PHYSICAL_ONSET,3,0.9199999999999541,0.9199999999999541,285,285,95,303.70038456360703,369.34671490861206,30.325963353154307,36.934671490861206,0.9957103371882453,1.0000000000000002,0.1581779828197078,0.045080725103616714,0.4276094138622284,0.8076419234275818,0.0,"[0.07073283195495605, 0.2367902398109436, 0.03503522649407387]","[0.08833570033311844, 0.278292179107666, 0.03594795614480972]",-0.004919274896383288,31.09961834568536,False,,False
A_FAILED_LEFT_MID_LATE_MODERATE,positive_0p10_left_mid_late_stance_moderate_ice_preregistered_v2,v5_pair_017,0.1,left,mid_late_stance,moderate_ice_preregistered,2,False,NO_PHYSICAL_ONSET,4,1.875999999999849,1.875999999999849,311,311,120,262.6075526760174,351.6090206301604,26.26075526760174,35.16090206301604,1.0,1.0000000000000002,0.15702316615359194,0.04883420467376709,0.3848792314529419,0.6639666557312012,37.628807067871094,"[0.12723979353904724, 0.20585156977176666, 0.03568822145462036]","[0.12497219443321228, 0.2546330988407135, 0.03644692152738571]",-0.001165795326232913,7.4243524365862825,False,,False
B_FOOT_COUNTERFACTUAL_RIGHT_MODERATE,positive_0p10_right_mid_late_stance_moderate_ice_preregistered_v0,v5_pair_033,0.1,right,mid_late_stance,moderate_ice_preregistered,0,False,NO_PHYSICAL_ONSET,6,2.0219999999998426,2.0219999999998426,284,284,94,289.333059091261,364.60050258158077,28.765721216905554,36.46005025815808,0.9948009805599561,1.0000000000000002,0.17987269068687736,0.051083844155073166,0.47613370418548584,0.8904736638069153,0.0,"[0.206281378865242, -0.21908722817897797, 0.03701545670628548]","[0.23853833973407745, -0.258698433637619, 0.03700298070907593]",0.0010838441550731631,0.0,False,,False
B_FOOT_COUNTERFACTUAL_RIGHT_MODERATE,positive_0p10_right_mid_late_stance_moderate_ice_preregistered_v1,v5_pair_034,0.1,right,mid_late_stance,moderate_ice_preregistered,1,True,,8,2.4139999999999735,2.4139999999999735,288,288,98,284.7817349000268,373.929988770297,28.24129509494755,37.3929988770297,0.9915721799789217,1.0000000000000002,0.21367578301578763,0.06153862550854683,0.5770090818405151,1.1008696556091309,0.0,"[0.2684935927391052, -0.18490906059741974, 0.037046872079372406]","[0.30652058124542236, -0.23329243063926697, 0.038285575807094574]",0.011538625508546826,0.0,False,,False
B_FOOT_COUNTERFACTUAL_RIGHT_MODERATE,positive_0p10_right_mid_late_stance_moderate_ice_preregistered_v2,v5_pair_035,0.1,right,mid_late_stance,moderate_ice_preregistered,2,True,,1,0.36900000000000027,0.36900000000000027,353,353,163,257.48067735425957,369.7299545980826,25.29869629967754,36.97299545980826,0.9844037357482388,1.0000000000000002,0.19085472687107985,0.06737171858549118,0.3832992613315582,0.5666155219078064,86.3125,"[0.027625467628240585, -0.1370139867067337, 0.035967327654361725]","[0.06308493763208389, -0.19429901242256165, 0.03670080751180649]",0.017371718585491178,0.0,False,,False
D_PHASE_COUNTERFACTUAL_LEFT_MODERATE,positive_0p15_left_early_loading_moderate_ice_preregistered_v0,v5_pair_039,0.15,left,early_loading,moderate_ice_preregistered,0,True,,17,1.038999999999941,1.038999999999941,105,105,105,517.8671106786485,825.8823031120738,48.41099637023684,76.1425047976056,0.9519487998184839,1.0000000000000002,1.0830952298073542,0.11372499912977219,1.066834807395935,1.76305091381073,9.086649894714355,"[0.054340433329343796, 0.34698882699012756, 0.04094160348176956]","[0.11639102548360825, 0.4422941207885742, 0.03510798141360283]",0.06372499912977218,0.0,True,2321,False
D_PHASE_COUNTERFACTUAL_LEFT_MODERATE,positive_0p15_left_early_loading_moderate_ice_preregistered_v1,v5_pair_040,0.15,left,early_loading,moderate_ice_preregistered,1,True,,13,0.8129999999999659,0.8129999999999659,131,131,131,453.8112042571445,733.0869016736331,40.59689760428455,64.13134781259075,0.9140080289773621,1.0000000000000002,0.9196584347550195,0.12047525495290756,0.8958016633987427,1.5102289915084839,23.098125457763672,"[0.1019384041428566, 0.3826861083507538, 0.041287265717983246]","[0.17766214907169342, 0.4763888418674469, 0.03498668968677521]",0.07047525495290756,0.0,True,2072,False
D_PHASE_COUNTERFACTUAL_LEFT_MODERATE,positive_0p15_left_early_loading_moderate_ice_preregistered_v2,v5_pair_041,0.15,left,early_loading,moderate_ice_preregistered,2,True,,58,1.6549999999998732,1.6549999999998732,249,249,249,324.32859537606555,541.462581037876,28.04305815605794,53.61723020468746,0.8650206270204693,1.0000000000000002,0.3583249916513282,0.08922292292118073,0.34328487515449524,0.7080540060997009,46.436222076416016,"[0.20414982736110687, 0.7410910129547119, 0.03975892812013626]","[0.27101922035217285, 0.8001605868339539, 0.03438882902264595]",0.03922292292118072,0.0,True,2415,False
D_PHASE_COUNTERFACTUAL_LEFT_MODERATE,positive_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v0,v5_pair_045,0.15,left,mid_loading_early_stance,moderate_ice_preregistered,0,True,,3,1.1079999999999335,1.1079999999999335,190,190,120,307.92505540531965,394.4901346346327,30.53569197001191,39.44901346346327,0.9917513144307785,1.0000000000000002,0.36959028557727214,0.0702221542596817,0.5300448536872864,1.083198070526123,0.0,"[0.12376034259796143, 0.16963529586791992, 0.03596687689423561]","[0.15565750002861023, 0.23219504952430725, 0.03599148616194725]",0.0202221542596817,0.0,False,,False
D_PHASE_COUNTERFACTUAL_LEFT_MODERATE,positive_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v1,v5_pair_046,0.15,left,mid_loading_early_stance,moderate_ice_preregistered,1,True,,12,2.7230000000000767,2.7230000000000767,269,269,129,300.7059992329101,380.9398540049015,29.90134830768478,38.093985400490155,0.9948388079094677,1.0000000000000002,0.2292928919473102,0.06167978793382645,0.3668919503688812,0.8372344374656677,0.0,"[0.34468400478363037, 0.3760634660720825, 0.03539111837744713]","[0.3613080680370331, 0.43546074628829956, 0.03574025258421898]",0.011679787933826444,0.0,False,,False
