row_type,evaluation_role,phase_segment_counts,sample_agreement,touchdown_events,touchdown_detected,touchdown_latency_median_ms,touchdown_latency_p95_abs_ms,contact_state_ready,diagnostic_phase,inferred_phase,sample_count,run_id,episode_index,physical_touchdown_sample,inferred_touchdown_sample,phase_inference_latency_ms
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,4,256,256,0
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,5,269,269,0
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,6,277,269,-8
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,7,286,277,-9
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,8,309,309,0
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,9,320,320,0
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,10,327,320,-7
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,11,332,327,-5
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,12,342,332,-10
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,13,397,397,0
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,14,497,497,0
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,15,869,869,0
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,16,884,884,0
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,17,892,884,-8
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,18,900,892,-8
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,19,929,929,0
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,20,951,951,0
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,21,1243,1243,0
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,22,1317,1317,0
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,23,1377,1377,0
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,24,1525,1525,0
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,25,1548,1548,0
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,26,1569,1569,0
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,27,1575,1569,-6
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,28,1582,1575,-7
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,29,1590,1582,-8
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,30,1597,1590,-7
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,31,1606,1597,-9
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,32,1611,1606,-5
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,33,1616,1606,-10
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,34,1623,1616,-7
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,35,1630,1623,-7
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,36,1635,1630,-5
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,37,1639,1630,-9
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,38,1644,1635,-9
