run_id,fold,speed_mps,foot,physical_episode_id,onset_sample,detected,first_output_sample,latency_ms,detected_by_onset,detected_within_20ms,detected_within_50ms
positive_0p10_left_mid_loading_early_stance_native_strong_ice_v2,2,0.1,left,6,1484,True,1429,-55,True,True,True
positive_0p10_left_mid_loading_early_stance_native_strong_ice_v2,2,0.1,left,11,2608,True,2569,-39,True,True,True
positive_0p10_left_mid_late_stance_native_strong_ice_v0,0,0.1,left,1,857,False,,,False,False,False
positive_0p10_left_mid_late_stance_native_strong_ice_v0,0,0.1,left,2,1417,True,1349,-68,True,True,True
positive_0p10_left_mid_late_stance_native_strong_ice_v0,0,0.1,left,9,2580,True,2519,-61,True,True,True
positive_0p10_left_mid_late_stance_native_strong_ice_v1,1,0.1,left,1,569,True,509,-60,True,True,True
positive_0p10_left_mid_late_stance_native_strong_ice_v1,1,0.1,left,3,1176,True,1109,-67,True,True,True
positive_0p10_left_mid_late_stance_native_strong_ice_v1,1,0.1,left,4,1780,True,1709,-71,True,True,True
positive_0p10_left_mid_late_stance_native_strong_ice_v1,1,0.1,left,6,2376,True,2299,-77,True,True,True
positive_0p10_left_mid_late_stance_native_strong_ice_v2,2,0.1,left,4,1533,True,1469,-64,True,True,True
positive_0p10_right_early_loading_native_strong_ice_v0,0,0.1,right,1,284,True,259,-25,True,True,True
positive_0p10_right_early_loading_native_strong_ice_v0,0,0.1,right,8,769,True,719,-50,True,True,True
positive_0p10_right_early_loading_native_strong_ice_v0,0,0.1,right,11,864,False,,,False,False,False
positive_0p10_right_early_loading_native_strong_ice_v0,0,0.1,right,13,922,True,919,-3,True,True,True
positive_0p10_right_early_loading_native_strong_ice_v1,1,0.1,right,0,148,False,,,False,False,False
positive_0p10_right_early_loading_native_strong_ice_v1,1,0.1,right,8,642,True,619,-23,True,True,True
positive_0p10_right_early_loading_native_strong_ice_v2,2,0.1,right,13,912,True,869,-43,True,True,True
positive_0p10_right_mid_loading_early_stance_native_strong_ice_v0,0,0.1,right,5,1056,True,959,-97,True,True,True
positive_0p10_right_mid_loading_early_stance_native_strong_ice_v0,0,0.1,right,18,1519,True,1449,-70,True,True,True
