endpoint_row,sample,foot,runtime_episode_id,physical_episode_id,normal_score,early_score,actionable_score,active_score,foot_score,proposal_score,persistence_count,valid_mask,prefall_mask,loaded_mask,touchdown_mask,transition_case,unique_g0_owner,data_quality_valid,run_id,fold,speed_mps,post_fall,invalid,wrong_case,owner_mismatch,latency_ms,attribution
24,439,1,10,6,1.889255252979721e-16,0.009204928088154606,0.8793365122597601,0.11145855965208518,0.7574569281683163,0.770070861450764,2,True,True,True,False,,False,True,ice_native_0p10_v02,2,0.1,False,False,False,True,4,VALID_EVENT_OUTPUT
45,649,1,11,6,3.850732593933167e-24,1.3650848970223391e-11,0.9935596901312276,0.006440309855121668,0.8493611372255642,0.9905176719039178,2,True,True,True,False,,True,True,ice_native_0p10_v02,2,0.1,False,False,False,False,214,VALID_EVENT_OUTPUT
58,779,0,12,12,1.0656035645513124e-20,1.2014831335040348e-09,0.9828977994574625,0.017102199341054482,0.9738393960110978,0.9897796181682321,2,True,True,True,False,,True,True,ice_native_0p10_v02,2,0.1,False,False,False,False,,TOO_EARLY
80,999,1,27,21,4.967424757039733e-15,0.028218026083526537,0.9699169661212556,0.0018650077952128885,0.8287772503314684,0.6861085263223963,2,True,True,True,False,,False,True,ice_native_0p10_v02,2,0.1,False,False,False,True,-98,VALID_EVENT_OUTPUT
107,1269,1,28,22,1.7116663267273858e-18,2.2735070294475523e-09,0.7787548260773853,0.2212451716491075,0.9776232139811578,0.9300332423176587,2,True,True,True,False,,True,True,ice_native_0p10_v02,2,0.1,False,False,False,False,,NORMAL_CONTACT_FP
121,1409,0,18,18,6.3501044809528656e-21,1.659358389370019e-06,0.8654857793440437,0.13451256129756695,0.9478384813947571,0.4692066137836352,2,True,True,True,False,,True,True,ice_native_0p10_v02,2,0.1,False,False,False,False,-66,VALID_EVENT_OUTPUT
158,1779,1,37,31,7.393662788395263e-25,9.271273632217306e-14,0.4989705948434831,0.5010294051564241,0.9845822007467206,0.5904292744972878,2,True,True,True,False,,True,True,ice_native_0p10_v02,2,0.1,False,False,False,False,-54,VALID_EVENT_OUTPUT
169,1889,1,38,32,1.657323193583398e-30,3.693743186422412e-23,0.8216185831197383,0.1783814168802616,0.7045920632339233,0.7850132221883964,2,True,True,True,False,,True,True,ice_native_0p10_v02,2,0.1,False,False,False,False,-31,VALID_EVENT_OUTPUT
182,2019,0,30,24,5.219992042347716e-34,2.0685774376234258e-05,0.9999681343985402,1.1179827083691246e-05,0.9960930883925005,0.946105106683176,2,True,True,True,False,,True,True,ice_native_0p10_v02,2,0.1,False,False,False,False,-82,VALID_EVENT_OUTPUT
201,2209,1,46,39,1.6059144484154838e-18,0.034259504058688,0.9656967013036553,4.379463765694272e-05,0.8767191536710679,0.6636931077710051,2,True,True,True,False,,False,True,ice_native_0p10_v02,2,0.1,False,False,False,True,,TOO_EARLY
238,2579,0,54,45,4.925950053126873e-36,0.0007346446904262581,0.999262999361996,2.3559475775467164e-06,0.9740182597949557,0.9754225478751509,2,True,True,True,False,,True,True,ice_native_0p10_v02,2,0.1,False,False,False,False,-78,VALID_EVENT_OUTPUT
254,2739,1,59,48,7.883444341581925e-34,0.019976657605688716,0.9800205460611373,2.796333173931665e-06,0.8032192232980641,0.9873666262147635,2,True,True,True,False,,False,True,ice_native_0p10_v02,2,0.1,False,False,False,True,-77,VALID_EVENT_OUTPUT
166,1859,0,2,2,4.996897729427813e-12,0.018493706475897476,0.9813997913286602,0.0001065021904454804,0.9991529399684901,0.604462028359965,2,True,True,True,False,,False,True,sand_solref_interpolation_2of3_0p10_v02,2,0.1,False,False,False,True,-87,VALID_EVENT_OUTPUT
174,1939,1,4,3,2.90019775312571e-28,2.0101377644092e-11,0.9999866630484158,1.3336931482721308e-05,0.9947760111301468,0.906446806183402,2,True,True,True,False,,False,True,sand_solref_interpolation_2of3_0p10_v02,2,0.1,False,False,False,True,-23,VALID_EVENT_OUTPUT
203,2229,1,5,4,2.425906989629366e-47,3.9764518517437397e-25,1.0,7.740126323685232e-17,0.9998579008290085,0.9999999999999991,2,True,True,True,False,,False,True,sand_solref_interpolation_2of3_0p10_v02,2,0.1,True,False,False,True,,POST_FALL_ADVISORY
163,1829,0,2,2,1.042240597925575e-13,0.0024090927463694387,0.9975907795387355,1.2771479099491742e-07,0.9995370521660039,0.7602713680573547,2,True,True,True,False,,False,True,sand_solref_interpolation_3of4_stronger_v2_0p10_v02,2,0.1,False,False,False,True,,TOO_EARLY
