run_id,pair_id,role,target_foot,foot,actual_first_affected_foot,contact_episode_id,episode_start_sample,episode_end_sample_exclusive,touchdown_sample,physical_onset_sample,time_from_touchdown_to_onset_ms,active_physical_slip_intervals,maximum_contact_anchor_drift_m,stable_loaded_contact_valid,fall_time_s,fall_reason,first_fall_censor_boundary,post_fall_excluded_sample_count,air_mask_sample_count,touchdown_mask_sample_count,invalid_mask_sample_count,contralateral_physical_slip_contamination,variation_index,variation_id,phase_offset,phase_fraction,command_delay_s,initial_perturbation
supplemental_control_v8_l01,v8_pair_01,control,left,right,none,0,48,425,48,,,[],0.0032267910428345203,True,,,,0,0,10,10,False,10,V8_L01,-0.13999999999999996,0.27,0.03,"[0.0013403413903868015, 9.105988184313204e-05, 0.0014643070893949088]"
supplemental_control_v8_l01,v8_pair_01,control,left,right,none,1,726,1064,726,,,[],0.005454039201140404,True,,,,0,0,10,10,False,10,V8_L01,-0.13999999999999996,0.27,0.03,"[0.0013403413903868015, 9.105988184313204e-05, 0.0014643070893949088]"
supplemental_control_v8_l01,v8_pair_01,control,left,right,none,2,1328,1665,1328,,,[],0.006021436303853989,True,,,,0,0,10,10,False,10,V8_L01,-0.13999999999999996,0.27,0.03,"[0.0013403413903868015, 9.105988184313204e-05, 0.0014643070893949088]"
supplemental_control_v8_l01,v8_pair_01,control,left,right,none,3,1929,2265,1929,,,[],0.005976070184260607,True,,,,0,0,10,10,False,10,V8_L01,-0.13999999999999996,0.27,0.03,"[0.0013403413903868015, 9.105988184313204e-05, 0.0014643070893949088]"
supplemental_control_v8_l01,v8_pair_01,control,left,right,none,4,2529,2865,2529,,,[],0.00597216235473752,True,,,,0,0,10,10,False,10,V8_L01,-0.13999999999999996,0.27,0.03,"[0.0013403413903868015, 9.105988184313204e-05, 0.0014643070893949088]"
supplemental_positive_v8_l02,v8_pair_02,positive,left,left,left,0,33,140,33,,,[],0.0017885133856907487,True,,,,0,0,10,10,False,11,V8_L02,-0.13999999999999996,0.27,0.04,"[0.0008627796497288911, 0.0007808037337714456, 0.0013875321335813933]"
supplemental_positive_v8_l02,v8_pair_02,positive,left,left,left,1,398,686,398,,,[],0.05151574686169624,True,,,,0,0,10,16,False,11,V8_L02,-0.13999999999999996,0.27,0.04,"[0.0008627796497288911, 0.0007808037337714456, 0.0013875321335813933]"
supplemental_positive_v8_l02,v8_pair_02,positive,left,left,left,2,688,737,688,,,[],0.010066218674182892,True,,,,0,0,10,10,False,11,V8_L02,-0.13999999999999996,0.27,0.04,"[0.0008627796497288911, 0.0007808037337714456, 0.0013875321335813933]"
supplemental_positive_v8_l02,v8_pair_02,positive,left,left,left,3,999,1288,999,1278,280,"[[1278,1280],[1284,1288]]",0.06039825454354286,True,,,,0,0,10,12,False,11,V8_L02,-0.13999999999999996,0.27,0.04,"[0.0008627796497288911, 0.0007808037337714456, 0.0013875321335813933]"
supplemental_positive_v8_l02,v8_pair_02,positive,left,left,left,4,1289,1344,1289,,,[],0.006767225917428732,True,,,,0,0,10,14,False,11,V8_L02,-0.13999999999999996,0.27,0.04,"[0.0008627796497288911, 0.0007808037337714456, 0.0013875321335813933]"
supplemental_positive_v8_l02,v8_pair_02,positive,left,left,left,5,1600,1866,1600,,,[],0.03761211782693863,True,,,,0,0,10,10,False,11,V8_L02,-0.13999999999999996,0.27,0.04,"[0.0008627796497288911, 0.0007808037337714456, 0.0013875321335813933]"
supplemental_positive_v8_l02,v8_pair_02,positive,left,left,left,6,1867,1952,1867,,,[],0.007139590568840504,True,,,,0,0,10,10,False,11,V8_L02,-0.13999999999999996,0.27,0.04,"[0.0008627796497288911, 0.0007808037337714456, 0.0013875321335813933]"
supplemental_positive_v8_l02,v8_pair_02,positive,left,left,left,7,2205,2554,2205,,,[],0.031514689326286316,True,,,,0,0,10,10,False,11,V8_L02,-0.13999999999999996,0.27,0.04,"[0.0008627796497288911, 0.0007808037337714456, 0.0013875321335813933]"
supplemental_positive_v8_l02,v8_pair_02,positive,left,left,left,8,2806,3000,2806,,,[],0.005339157767593861,True,,,,0,0,10,10,False,11,V8_L02,-0.13999999999999996,0.27,0.04,"[0.0008627796497288911, 0.0007808037337714456, 0.0013875321335813933]"
