candidate_id,threshold,persistence_ms,actionable_margin,hysteresis,hysteresis_effect,actionable_recall,normal_run_fp,normal_contact_episode_fp,too_early,invalid,post_fall,cross_foot,conditional_affected_foot_accuracy,verifier_acceptance_rate,diagnostic_only,selected_or_frozen,pareto_frontier,maximum_recall_with_normal_run_fp_zero,maximum_recall_with_contact_episode_fp_zero,minimum_normal_run_fp_at_recall_ge_0p80,minimum_contact_episode_fp_at_recall_ge_0p80,minimum_too_early_at_recall_ge_0p80
R1_seed_202608231,0.55,3,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.6857749469214437,105,823,53,104,104,30,1.0,0.02761656543043125,True,False,False,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.55,5,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.5966029723991507,31,521,35,92,92,21,1.0,0.02761656543043125,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.55,5,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.5966029723991507,31,521,35,92,92,21,1.0,0.02761656543043125,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.6,1,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7813163481953291,154,1289,86,124,124,63,1.0,0.02337336714300137,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.6,1,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7813163481953291,154,1289,86,124,124,63,1.0,0.02337336714300137,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.6,3,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.6666666666666666,83,720,49,99,99,26,1.0,0.02337336714300137,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.6,3,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.6666666666666666,83,720,49,99,99,26,1.0,0.02337336714300137,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.6,5,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.5562632696390658,24,442,31,88,88,18,1.0,0.02337336714300137,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.6,5,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.5562632696390658,24,442,31,88,88,18,1.0,0.02337336714300137,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.65,1,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7558386411889597,124,1098,82,119,119,57,1.0,0.018950795954994066,True,False,True,0.09554140127388536,0.0,203,1995,111
