candidate_id,evaluation_scope,run_id,fold,foot,config_id,contact_loss_count,new_touchdown_count,first_fall_hard_reset_count,post_fall_mask_count,invalid_mask_count,score_recovery_count,first_fall_boundary_sample,invalid_persistence_increment_count,postfall_persistence_increment_count,contact_owner_mutation_count,latch_carryover_count
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_5of6_stronger_v2_0p10_v02,2,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,37,2,1,101,0,1,1983,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_5of6_stronger_v2_0p10_v02,2,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,52,4,1,101,0,0,1983,0,0,0,0
F1_seed_202608242,POOLED_OOF,marble_native_0p15_v02,2,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,117,6,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,marble_native_0p15_v02,2,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,131,8,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,concrete_native_0p15_v02,2,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,116,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,concrete_native_0p15_v02,2,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,131,6,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_hardened_0p15_v02,2,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,112,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_hardened_0p15_v02,2,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,129,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,ice_native_0p15_v02,2,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,112,37,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,ice_native_0p15_v02,2,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,91,39,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_1of3_0p15_v02,2,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,109,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_1of3_0p15_v02,2,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,118,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_2of3_0p15_v02,2,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,109,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_2of3_0p15_v02,2,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,110,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_3of4_stronger_v2_0p15_v02,2,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,108,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_3of4_stronger_v2_0p15_v02,2,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,109,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_5of6_stronger_v2_0p15_v02,2,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,106,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_5of6_stronger_v2_0p15_v02,2,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,109,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,marble_native_0p20_v02,2,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,120,6,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,marble_native_0p20_v02,2,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,131,8,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,concrete_native_0p20_v02,2,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,119,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,concrete_native_0p20_v02,2,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,131,6,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_hardened_0p20_v02,2,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,114,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_hardened_0p20_v02,2,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,126,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,ice_native_0p20_v02,2,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,118,54,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,ice_native_0p20_v02,2,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,93,59,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_1of3_0p20_v02,2,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,109,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_1of3_0p20_v02,2,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,116,5,0,0,0,0,,0,0,0,0
