row_type,funnel_stage,count,run_id,fold,source_acquisition,speed_mps,foot,contact_episode_id,onset_phase,severity,contact_duration_ms,physical_active_duration_ms,physical_onset_sample,valid_actionable_sample_count,inter_episode_gap_ms,active_segment_count,short_oracle_deactivation_gap_count,fall_censored,insufficient_200ms_history,no_valid_actionable_samples_after_masks,per_foot_contact_owned,detected_by_R1_seed_202608231,short_gap_diagnostic_only,segmentation_changed
EPISODE,,,ice_native_0p10_v03,0,existing_valid_120_bilateral_development,0.1,right,66,legacy_development,legacy_development,379,19,2972,99,573,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p15_v03,0,existing_valid_120_bilateral_development,0.15,left,0,legacy_development,legacy_development,66,24,170,31,,1,0,False,True,False,True,False,False,False
EPISODE,,,ice_native_0p15_v03,0,existing_valid_120_bilateral_development,0.15,left,2,legacy_development,legacy_development,94,40,270,44,77,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p15_v03,0,existing_valid_120_bilateral_development,0.15,left,16,legacy_development,legacy_development,148,57,1394,78,1085,2,1,False,False,False,True,False,True,False
EPISODE,,,ice_native_0p15_v03,0,existing_valid_120_bilateral_development,0.15,left,18,legacy_development,legacy_development,107,39,1545,56,92,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p15_v03,0,existing_valid_120_bilateral_development,0.15,left,29,legacy_development,legacy_development,208,58,2644,100,1061,4,3,False,False,False,True,False,True,False
EPISODE,,,ice_native_0p15_v03,0,existing_valid_120_bilateral_development,0.15,right,29,legacy_development,legacy_development,67,7,920,50,,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p15_v03,0,existing_valid_120_bilateral_development,0.15,right,75,legacy_development,legacy_development,275,77,2911,99,1985,5,4,False,False,False,True,False,True,False
EPISODE,,,sand_solref_interpolation_2of3_0p15_v03,0,existing_valid_120_bilateral_development,0.15,left,2,legacy_development,legacy_development,970,13,1773,100,,1,0,False,False,False,True,False,False,False
EPISODE,,,sand_solref_interpolation_2of3_0p15_v03,0,existing_valid_120_bilateral_development,0.15,left,3,legacy_development,legacy_development,461,26,1911,6,126,1,0,True,False,False,True,True,False,False
EPISODE,,,sand_solref_interpolation_2of3_0p15_v03,0,existing_valid_120_bilateral_development,0.15,right,3,legacy_development,legacy_development,161,13,1795,100,,1,0,False,False,False,True,False,False,False
EPISODE,,,sand_solref_interpolation_3of4_stronger_v2_0p15_v03,0,existing_valid_120_bilateral_development,0.15,left,2,legacy_development,legacy_development,1001,24,1793,100,,1,0,False,False,False,True,False,False,False
EPISODE,,,sand_solref_interpolation_3of4_stronger_v2_0p15_v03,0,existing_valid_120_bilateral_development,0.15,right,6,legacy_development,legacy_development,174,7,1815,95,,1,0,False,False,False,True,False,False,False
EPISODE,,,sand_solref_interpolation_5of6_stronger_v2_0p15_v03,0,existing_valid_120_bilateral_development,0.15,left,2,legacy_development,legacy_development,942,29,1732,100,,1,0,False,False,False,True,False,False,False
EPISODE,,,sand_solref_interpolation_5of6_stronger_v2_0p15_v03,0,existing_valid_120_bilateral_development,0.15,right,3,legacy_development,legacy_development,148,7,1767,99,,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p20_v03,0,existing_valid_120_bilateral_development,0.2,left,0,legacy_development,legacy_development,66,25,170,31,,1,0,False,True,False,True,False,False,False
EPISODE,,,ice_native_0p20_v03,0,existing_valid_120_bilateral_development,0.2,left,1,legacy_development,legacy_development,110,63,238,31,44,3,2,False,False,False,True,False,True,False
EPISODE,,,ice_native_0p20_v03,0,existing_valid_120_bilateral_development,0.2,left,13,legacy_development,legacy_development,192,24,1470,99,1164,4,3,False,False,False,True,False,True,False
EPISODE,,,ice_native_0p20_v03,0,existing_valid_120_bilateral_development,0.2,left,45,legacy_development,legacy_development,115,52,2588,47,1086,3,2,False,False,False,True,False,True,False
EPISODE,,,ice_native_0p20_v03,0,existing_valid_120_bilateral_development,0.2,right,29,legacy_development,legacy_development,275,216,930,49,,1,0,False,False,False,True,False,False,False
