outer_fold,inner_fold,fit_fold,mining_fold,reason,identity,run_id,outer_validation_member,actionable_score,foot_score
0,0,2,1,high_normal,sand_solref_interpolation_5of6_stronger_v2_0p10_v04:2119:0,sand_solref_interpolation_5of6_stronger_v2_0p10_v04,False,0.9999999999815476,0.9989313342780258
0,0,2,1,high_normal,positive_0p20_right_early_loading_v1_M1:959:0,positive_0p20_right_early_loading_v1_M1,False,0.999999999981602,1.9007450000076214e-09
0,0,2,1,high_normal,positive_0p10_left_early_loading_v1_M1:1729:1,positive_0p10_left_early_loading_v1_M1,False,0.9999999999828395,0.9999999719239011
0,0,2,1,high_normal,ice_native_0p20_v01:2919:1,ice_native_0p20_v01,False,0.9999999999833411,0.08671005207405615
0,0,2,1,high_normal,positive_0p10_left_early_loading_v1_M1:1679:1,positive_0p10_left_early_loading_v1_M1,False,0.9999999999835496,0.9999997102083737
0,0,2,1,high_normal,positive_0p15_left_early_loading_v1_M1:1599:0,positive_0p15_left_early_loading_v1_M1,False,0.9999999999853784,1.0865954595638862e-05
0,0,2,1,high_normal,positive_0p15_left_early_loading_v1_M1:1239:0,positive_0p15_left_early_loading_v1_M1,False,0.9999999999854039,5.482306446093608e-09
0,0,2,1,high_normal,positive_0p20_right_early_loading_v1_M1:1699:0,positive_0p20_right_early_loading_v1_M1,False,0.9999999999856153,0.9998071621403877
0,0,2,1,high_normal,positive_0p10_left_early_loading_native_strong_ice_v1:579:1,positive_0p10_left_early_loading_native_strong_ice_v1,False,0.9999999999856706,1.6444579050908218e-07
0,0,2,1,high_normal,positive_0p10_left_early_loading_v1_M1:1079:1,positive_0p10_left_early_loading_v1_M1,False,0.9999999999880005,3.79163546970624e-07
0,0,2,1,high_normal,positive_0p20_right_early_loading_v1_M1:929:0,positive_0p20_right_early_loading_v1_M1,False,0.9999999999891898,8.101126868111841e-07
0,0,2,1,high_normal,positive_0p10_left_early_loading_native_strong_ice_v1:599:1,positive_0p10_left_early_loading_native_strong_ice_v1,False,0.9999999999922442,1.8183231553781593e-05
0,0,2,1,high_normal,positive_0p20_left_early_loading_v1_M1:1879:1,positive_0p20_left_early_loading_v1_M1,False,0.9999999999923901,9.26572462029487e-05
0,0,2,1,high_normal,positive_0p20_right_early_loading_v1_M1:949:0,positive_0p20_right_early_loading_v1_M1,False,0.9999999999927107,1.7273128340595045e-08
0,0,2,1,high_normal,ice_native_0p20_v01:1939:1,ice_native_0p20_v01,False,0.9999999999928422,0.9996216400902043
0,0,2,1,high_normal,positive_0p20_right_early_loading_v1_M1:939:0,positive_0p20_right_early_loading_v1_M1,False,0.9999999999931948,2.39047023203391e-07
0,0,2,1,high_normal,positive_0p10_left_early_loading_v1_M1:1629:1,positive_0p10_left_early_loading_v1_M1,False,0.9999999999932472,0.999999885575261
0,0,2,1,high_normal,positive_0p15_left_early_loading_native_strong_ice_v1:639:1,positive_0p15_left_early_loading_native_strong_ice_v1,False,0.9999999999933236,0.0001405792006542357
0,0,2,1,high_normal,positive_0p10_right_early_loading_v1_M1:1279:0,positive_0p10_right_early_loading_v1_M1,False,0.9999999999936771,0.9999999965988804
0,0,2,1,high_normal,positive_0p20_left_early_loading_v1_M1:1599:0,positive_0p20_left_early_loading_v1_M1,False,0.9999999999941733,8.672977379010358e-08
0,0,2,1,high_normal,positive_0p10_right_early_loading_v1_M1:1489:0,positive_0p10_right_early_loading_v1_M1,False,0.9999999999942093,0.9999999999985514
0,0,2,1,high_normal,positive_0p10_right_early_loading_v1_M1:1299:0,positive_0p10_right_early_loading_v1_M1,False,0.9999999999943074,0.9999999999617968
0,0,2,1,high_normal,positive_0p20_right_early_loading_native_strong_ice_v1:949:0,positive_0p20_right_early_loading_native_strong_ice_v1,False,0.9999999999946811,9.714853245261921e-19
0,0,2,1,high_normal,positive_0p15_left_early_loading_native_strong_ice_v1:629:1,positive_0p15_left_early_loading_native_strong_ice_v1,False,0.9999999999955147,0.0002436294957913432
0,0,2,1,high_normal,positive_0p15_left_early_loading_v1_M1:1299:0,positive_0p15_left_early_loading_v1_M1,False,0.99999999999554,2.335095539702856e-06
0,0,2,1,high_normal,positive_0p15_left_early_loading_native_strong_ice_v1:589:1,positive_0p15_left_early_loading_native_strong_ice_v1,False,0.9999999999956188,3.4520325490461233e-07
0,0,2,1,high_normal,positive_0p20_right_early_loading_v1_M1:1599:0,positive_0p20_right_early_loading_v1_M1,False,0.9999999999965372,2.378542906847544e-05
0,0,2,1,high_normal,positive_0p20_left_early_loading_native_strong_ice_v1:579:1,positive_0p20_left_early_loading_native_strong_ice_v1,False,0.999999999996656,1.6423503327051161e-06
0,0,2,1,high_normal,positive_0p20_left_early_loading_v1_M1:1889:1,positive_0p20_left_early_loading_v1_M1,False,0.9999999999967677,0.007602701094572743
0,0,2,1,high_normal,positive_0p20_right_early_loading_native_strong_ice_v1:899:0,positive_0p20_right_early_loading_native_strong_ice_v1,False,0.9999999999971796,1.4030947351128434e-06
