run_index,run_id,pair_id,role,status,full_trace_sha256,discarded,replaced,silently_relabelled
82,positive_0p15_left_early_loading_moderate_ice_preregistered_v2,v5_pair_041,positive,EXECUTED_AND_RETAINED,b5bd2d5f3852cabfb8161420750f46e7a98839a49825c65bd131aa4f6be008ba,False,False,False
83,control_0p15_left_early_loading_moderate_ice_preregistered_v2,v5_pair_041,control,EXECUTED_AND_RETAINED,3333ddbf197e0cf1547c5efea4ba906130816ff6ba6125990e4942716bde1416,False,False,False
84,positive_0p15_left_mid_loading_early_stance_native_strong_ice_v0,v5_pair_042,positive,EXECUTED_AND_RETAINED,5b00ef03be18a4bcde0034885a677e461a0d4bf9e384f4930df67ec63a6c1b62,False,False,False
85,control_0p15_left_mid_loading_early_stance_native_strong_ice_v0,v5_pair_042,control,EXECUTED_AND_RETAINED,5bb7bed1ad689fb6d3649331b7d14a46d4f67836840eacdaaa5b56f3bc28442a,False,False,False
86,positive_0p15_left_mid_loading_early_stance_native_strong_ice_v1,v5_pair_043,positive,EXECUTED_AND_RETAINED,36bdf73708d6952aedd08fb54392a62f2b52835a1e11a8cf54fd43c27a1f9e10,False,False,False
87,control_0p15_left_mid_loading_early_stance_native_strong_ice_v1,v5_pair_043,control,EXECUTED_AND_RETAINED,d4db20dd7e08f1c49fb715b47112e92d9f553347248bbe1137f5493ac288b352,False,False,False
88,positive_0p15_left_mid_loading_early_stance_native_strong_ice_v2,v5_pair_044,positive,EXECUTED_AND_RETAINED,ff418e2f7271f5967c09dce9c7af4a66e650c240e18277c43c6cfa2665a47082,False,False,False
89,control_0p15_left_mid_loading_early_stance_native_strong_ice_v2,v5_pair_044,control,EXECUTED_AND_RETAINED,06be21535e2ce45f6e779942bab61a0beddb5af96f56b2a9c8e1097c1f671cb3,False,False,False
90,positive_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v0,v5_pair_045,positive,EXECUTED_AND_RETAINED,8b626f79ebe9877a3125d37420949a3a31f48a29e49ac0b6bf88b184444ed015,False,False,False
91,control_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v0,v5_pair_045,control,EXECUTED_AND_RETAINED,0c5205c9201fbbc53921a6a2c9475b7051d6ce6bbe3c70d57081dc9049137d4a,False,False,False
92,positive_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v1,v5_pair_046,positive,EXECUTED_AND_RETAINED,6c2cd6dbdcf09f9eb4e8ba9e1b3a1f9ca5756b148326b7b6f61e8eaff9d38418,False,False,False
93,control_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v1,v5_pair_046,control,EXECUTED_AND_RETAINED,8d08f2e8df6c6d6d99b03cbbd2fa5133148297027b5c98aa6bcbf8a58d16c8b0,False,False,False
94,positive_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v2,v5_pair_047,positive,EXECUTED_AND_RETAINED,9ab4c22f55db73235c18852011f33b91d1b839efad7cab07a6a0e484ea6d6897,False,False,False
95,control_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v2,v5_pair_047,control,EXECUTED_AND_RETAINED,40290ec2646586ec7d1a149299c4d29409180f911c7016f6d7f637a24114aa42,False,False,False
96,positive_0p15_left_mid_late_stance_native_strong_ice_v0,v5_pair_048,positive,EXECUTED_AND_RETAINED,8334b5f183852cb7225b6a2445969b6c6dd069422fb985c29bd2ea2485a55dd9,False,False,False
97,control_0p15_left_mid_late_stance_native_strong_ice_v0,v5_pair_048,control,EXECUTED_AND_RETAINED,e7faf8e5de9287ad99c8be5870fb70cba5dd3e42470c5a7ac77db77bab2b3d92,False,False,False
98,positive_0p15_left_mid_late_stance_native_strong_ice_v1,v5_pair_049,positive,EXECUTED_AND_RETAINED,ab39d6a53f397fc12658ec0a3e3d213b553362f098c54421b9f0975514839554,False,False,False
99,control_0p15_left_mid_late_stance_native_strong_ice_v1,v5_pair_049,control,EXECUTED_AND_RETAINED,dc0880498b11f43fc5a8f22f75c29ab3689f59083b61eeb7fe209240b6026b5a,False,False,False
100,positive_0p15_left_mid_late_stance_native_strong_ice_v2,v5_pair_050,positive,EXECUTED_AND_RETAINED,ed873d5ab8c3af414701304cc1bf92f57e30fb50356937ddf6cbf5bdce2e624a,False,False,False
101,control_0p15_left_mid_late_stance_native_strong_ice_v2,v5_pair_050,control,EXECUTED_AND_RETAINED,6268e1e1670b0908f143fc54de8bf66b082a69bf9198420158e76eb012974f37,False,False,False
102,positive_0p15_left_mid_late_stance_moderate_ice_preregistered_v0,v5_pair_051,positive,EXECUTED_AND_RETAINED,94443a2a95949f65a3d4acabe12b9ff4be288910c9e7293c8e598ec83e5664ec,False,False,False
103,control_0p15_left_mid_late_stance_moderate_ice_preregistered_v0,v5_pair_051,control,EXECUTED_AND_RETAINED,52e563ebbb1a78d122739db0e6074cc7331ff8b09f68975b137bdb1d3007a833,False,False,False
104,positive_0p15_left_mid_late_stance_moderate_ice_preregistered_v1,v5_pair_052,positive,EXECUTED_AND_RETAINED,d00641f0f7e44fb428ae303f82ea423355a6f752dcde59c22b043da20b92edcc,False,False,False
105,control_0p15_left_mid_late_stance_moderate_ice_preregistered_v1,v5_pair_052,control,EXECUTED_AND_RETAINED,0a67899f9a8b3a304d7c16573a8a68e62c8016a127c654c29fd175612117ce4c,False,False,False
106,positive_0p15_left_mid_late_stance_moderate_ice_preregistered_v2,v5_pair_053,positive,EXECUTED_AND_RETAINED,f985c914c5da7eacee15d6c477e1c9a7c808af7a81a448708651cac532632637,False,False,False
107,control_0p15_left_mid_late_stance_moderate_ice_preregistered_v2,v5_pair_053,control,EXECUTED_AND_RETAINED,35facb1ea50784565dcaaeee4364c8d7f7070380e3eb2d71b30a715273606c7b,False,False,False
108,positive_0p15_right_early_loading_native_strong_ice_v0,v5_pair_054,positive,EXECUTED_AND_RETAINED,a0343790b195a919ca30375c30a49a72df9ff63b81e8be8fae2908c8c5740466,False,False,False
109,control_0p15_right_early_loading_native_strong_ice_v0,v5_pair_054,control,EXECUTED_AND_RETAINED,4cccd91424b156c515bf1f5800cf93e4ba05d148a27396e36805d089e6c6b81b,False,False,False
110,positive_0p15_right_early_loading_native_strong_ice_v1,v5_pair_055,positive,EXECUTED_AND_RETAINED,099ae9f612e652aaf052adc8855716d9d84b00271dfe46c7c91f4da7687009ab,False,False,False
111,control_0p15_right_early_loading_native_strong_ice_v1,v5_pair_055,control,EXECUTED_AND_RETAINED,0025e269fe7489aaebf58ff10b2552ffd7bcbe8cde1204dba69f55a97af8f43c,False,False,False
112,positive_0p15_right_early_loading_native_strong_ice_v2,v5_pair_056,positive,EXECUTED_AND_RETAINED,41742a3d19682a40f0c17afc6a02dbcf0e424765ba28d105a2dae0f26c07fe4c,False,False,False
113,control_0p15_right_early_loading_native_strong_ice_v2,v5_pair_056,control,EXECUTED_AND_RETAINED,1de5e10094d30a3b32714fd3db4b28459551b198a98f0eb667664efcf3a2fecb,False,False,False
114,positive_0p15_right_early_loading_moderate_ice_preregistered_v0,v5_pair_057,positive,EXECUTED_AND_RETAINED,720b05adfa9aa78b55966e9bc252907c5f98f822d6034156dd7710c3003b40d5,False,False,False
115,control_0p15_right_early_loading_moderate_ice_preregistered_v0,v5_pair_057,control,EXECUTED_AND_RETAINED,ca81ebeb4ad3e81ade89932e5dd04e17082ffdfc5755caf514476bd7bfc3391c,False,False,False
116,positive_0p15_right_early_loading_moderate_ice_preregistered_v1,v5_pair_058,positive,EXECUTED_AND_RETAINED,b9e8cf703b7a38f42d99c4f1178f209276b5b6159164f285bceff7521feb5454,False,False,False
117,control_0p15_right_early_loading_moderate_ice_preregistered_v1,v5_pair_058,control,EXECUTED_AND_RETAINED,b6e9763f1b661b0dab8de9055914aa1e6883e97152861eae7c3b728f09e8a16d,False,False,False
118,positive_0p15_right_early_loading_moderate_ice_preregistered_v2,v5_pair_059,positive,EXECUTED_AND_RETAINED,19e17709d4992e70045d813d9f8133c1a062f5c117e4574283d09471e19624f3,False,False,False
119,control_0p15_right_early_loading_moderate_ice_preregistered_v2,v5_pair_059,control,EXECUTED_AND_RETAINED,19f58996a7d26266c8450f6d639465dc01ddaec5a267c4cda5c28aa4829ab2fe,False,False,False
120,positive_0p15_right_mid_loading_early_stance_native_strong_ice_v0,v5_pair_060,positive,EXECUTED_AND_RETAINED,c47a250cd84fe356d363e3b9b35229d1d7bfc61218d4444b117c59d034db3b75,False,False,False
121,control_0p15_right_mid_loading_early_stance_native_strong_ice_v0,v5_pair_060,control,EXECUTED_AND_RETAINED,0aea6dcb5f42d749d28328c5ac22dae8cd8d7364ca8000c6d92c020c9ff4a842,False,False,False
122,positive_0p15_right_mid_loading_early_stance_native_strong_ice_v1,v5_pair_061,positive,EXECUTED_AND_RETAINED,9193499ce15f41df6c2afb37fc0e55c6f3ea31eea1bf760340519163ea899b6c,False,False,False
123,control_0p15_right_mid_loading_early_stance_native_strong_ice_v1,v5_pair_061,control,EXECUTED_AND_RETAINED,a4f551a1ef0b6e6950bd15591541f85ecaed356d97ce50364af83463072765fe,False,False,False
124,positive_0p15_right_mid_loading_early_stance_native_strong_ice_v2,v5_pair_062,positive,EXECUTED_AND_RETAINED,3fcf308118fae220ecbdc0f5f0298b95e95b79eaf8fa0cf47694fa4e7534b530,False,False,False
125,control_0p15_right_mid_loading_early_stance_native_strong_ice_v2,v5_pair_062,control,EXECUTED_AND_RETAINED,84f74d0e4479f40140e383d6c078bf45c6928380b28b56331fce408ccda13a93,False,False,False
126,positive_0p15_right_mid_loading_early_stance_moderate_ice_preregistered_v0,v5_pair_063,positive,EXECUTED_AND_RETAINED,e5c7e4f4e3ec4ca3daee286d546f8ffad1752437209f6163b8b8fb28a7784a13,False,False,False
127,control_0p15_right_mid_loading_early_stance_moderate_ice_preregistered_v0,v5_pair_063,control,EXECUTED_AND_RETAINED,eb06a6924c9bc7be52456ab632629b860830b3541d9d66aeef76001810898ee7,False,False,False
128,positive_0p15_right_mid_loading_early_stance_moderate_ice_preregistered_v1,v5_pair_064,positive,EXECUTED_AND_RETAINED,f6b95dc2566a38cdb05030ffaf4c068954d4a23afdfe91b7b2810d3715c07849,False,False,False
