pair_id,positive_run_id,control_run_id,pair_fingerprint,speed_mps,target_foot,target_phase,severity,control_type,variation_index,seed,first_patch_contact_sample,initial_qpos_equal,initial_qvel_equal,initial_policy_observation_equal,prepatch_generalized_state_equal,precontact_fusion20_equal,command_equal,geometry_equal,patch_location_equal,target_foot_equal,timestamps_equal,pair_configuration_equal,positive_expected_friction,control_expected_friction,positive_effective_friction_contract,control_effective_friction_contract,effective_friction_differs,postcontact_trajectory_diverged,full_trace_identical,classification,patch_base_double_contact_count,parity_pass
v5_pair_034,positive_0p10_right_mid_late_stance_moderate_ice_preregistered_v1,control_0p10_right_mid_late_stance_moderate_ice_preregistered_v1,41538861a479bd4fc97dd87cf6865617e2347ff3850779caac3959835cef8063,0.1,right,mid_late_stance,moderate_ice_preregistered,near_slip_non_event,1,202608534,37,True,True,True,True,True,True,True,True,True,True,True,0.1,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_035,positive_0p10_right_mid_late_stance_moderate_ice_preregistered_v2,control_0p10_right_mid_late_stance_moderate_ice_preregistered_v2,79e5b67e589391038db273cf937b5c8be29d02ce6bc094f6cdaab9a6947cd36e,0.1,right,mid_late_stance,moderate_ice_preregistered,hard_normal,2,202608535,34,True,True,True,True,True,True,True,True,True,True,True,0.1,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_036,positive_0p15_left_early_loading_native_strong_ice_v0,control_0p15_left_early_loading_native_strong_ice_v0,706b9afac5272d57a3050d451bf2741906a36fd4d99ebf4d12751d5a92b210d3,0.15,left,early_loading,native_strong_ice,hard_normal,0,202608536,37,True,True,True,True,True,True,True,True,True,True,True,0.05,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_037,positive_0p15_left_early_loading_native_strong_ice_v1,control_0p15_left_early_loading_native_strong_ice_v1,3072c79e94eb5b08272a2bf9e9dc13bb820c3477986586c8f8a22e76c98b1378,0.15,left,early_loading,native_strong_ice,near_slip_non_event,1,202608537,39,True,True,True,True,True,True,True,True,True,True,True,0.05,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_038,positive_0p15_left_early_loading_native_strong_ice_v2,control_0p15_left_early_loading_native_strong_ice_v2,fc734861cdac929166494a861c866f1c887eb8415aeec33291b35a76ada18368,0.15,left,early_loading,native_strong_ice,hard_normal,2,202608538,44,True,True,True,True,True,True,True,True,True,True,True,0.05,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_039,positive_0p15_left_early_loading_moderate_ice_preregistered_v0,control_0p15_left_early_loading_moderate_ice_preregistered_v0,6d10a8a61d23fea5b859821716cc75db558e9f13d9e066fe930e3c590b18a5e4,0.15,left,early_loading,moderate_ice_preregistered,near_slip_non_event,0,202608539,37,True,True,True,True,True,True,True,True,True,True,True,0.1,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_040,positive_0p15_left_early_loading_moderate_ice_preregistered_v1,control_0p15_left_early_loading_moderate_ice_preregistered_v1,4c7aa4c119acad83a4ef73175a0883dedf2f44a2366446531b67741e3b234230,0.15,left,early_loading,moderate_ice_preregistered,hard_normal,1,202608540,39,True,True,True,True,True,True,True,True,True,True,True,0.1,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_041,positive_0p15_left_early_loading_moderate_ice_preregistered_v2,control_0p15_left_early_loading_moderate_ice_preregistered_v2,553ddfbd4f33915995106b272cc75fb4c83871948d1b887ceddf6da27b23709c,0.15,left,early_loading,moderate_ice_preregistered,near_slip_non_event,2,202608541,44,True,True,True,True,True,True,True,True,True,True,True,0.1,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_042,positive_0p15_left_mid_loading_early_stance_native_strong_ice_v0,control_0p15_left_mid_loading_early_stance_native_strong_ice_v0,4fc6b8426b4f67d223d3e9f074691de19ced8f4ebba0705e2e7b23c37411cb23,0.15,left,mid_loading_early_stance,native_strong_ice,near_slip_non_event,0,202608542,37,True,True,True,True,True,True,True,True,True,True,True,0.05,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_043,positive_0p15_left_mid_loading_early_stance_native_strong_ice_v1,control_0p15_left_mid_loading_early_stance_native_strong_ice_v1,2a22c949d23adc9ccf3e63ad4bae6bf4be63db9bfb66ff936d414c40680e356f,0.15,left,mid_loading_early_stance,native_strong_ice,hard_normal,1,202608543,39,True,True,True,True,True,True,True,True,True,True,True,0.05,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True
