run_id,pair_id,role,speed_mps,target_foot,target_phase,actual_onset_phase,severity,material_profile,control_type,variation_index,actual_first_affected_foot,target_touchdown_sample,target_touchdown_time_s,target_physical_onset_sample,target_physical_onset_time_s,touchdown_to_onset_ms,target_contact_episode_id,contralateral_physical_slip_contamination,valid_target_positive,wrong_foot_onset,bilateral_ambiguous,no_onset,fall_occurred,first_fall_sample,fall_reason,post_fall_excluded_sample_count,discarded,replaced,silently_relabelled,physical_slip_foot_count,physical_slip_onset_free,stable_loaded_contact_coverage,valid_control_source,maximum_target_anchor_drift_m,first_fall_censor_boundary,control_source_valid,failure_reason,failed_attempt_preserved,silently_counted_as_normal,development_only
control_0p15_right_mid_loading_early_stance_moderate_ice_preregistered_v2,v5_pair_065,control,0.15,right,mid_loading_early_stance,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,2,none,34,0.035000000000000024,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.009145897813141346,,True,,True,False,True
control_0p15_right_mid_late_stance_native_strong_ice_v0,v5_pair_066,control,0.15,right,mid_late_stance,none,native_strong_ice,near_slip_non_event,near_slip_non_event,0,none,43,0.04400000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.006463794969022274,,True,,True,False,True
control_0p15_right_mid_late_stance_native_strong_ice_v1,v5_pair_067,control,0.15,right,mid_late_stance,none,native_strong_ice,hard_normal,hard_normal,1,none,37,0.03800000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.00630628876388073,,True,,True,False,True
control_0p15_right_mid_late_stance_native_strong_ice_v2,v5_pair_068,control,0.15,right,mid_late_stance,none,native_strong_ice,near_slip_non_event,near_slip_non_event,2,none,34,0.035000000000000024,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.008827796205878258,,True,,True,False,True
control_0p15_right_mid_late_stance_moderate_ice_preregistered_v0,v5_pair_069,control,0.15,right,mid_late_stance,none,moderate_ice_preregistered,hard_normal,hard_normal,0,none,43,0.04400000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.006597197614610195,,True,,True,False,True
control_0p15_right_mid_late_stance_moderate_ice_preregistered_v1,v5_pair_070,control,0.15,right,mid_late_stance,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,1,none,37,0.03800000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.005971785634756088,,True,,True,False,True
control_0p15_right_mid_late_stance_moderate_ice_preregistered_v2,v5_pair_071,control,0.15,right,mid_late_stance,none,moderate_ice_preregistered,hard_normal,hard_normal,2,none,34,0.035000000000000024,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.008925157599151134,,True,,True,False,True
control_0p20_left_early_loading_native_strong_ice_v0,v5_pair_072,control,0.2,left,early_loading,none,native_strong_ice,hard_normal,hard_normal,0,none,36,0.037000000000000026,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.0033474110532552004,,True,,True,False,True
control_0p20_left_early_loading_native_strong_ice_v1,v5_pair_073,control,0.2,left,early_loading,none,native_strong_ice,near_slip_non_event,near_slip_non_event,1,none,39,0.04000000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.009098965674638748,,True,,True,False,True
control_0p20_left_early_loading_native_strong_ice_v2,v5_pair_074,control,0.2,left,early_loading,none,native_strong_ice,hard_normal,hard_normal,2,none,44,0.04500000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.004679318517446518,,True,,True,False,True
control_0p20_left_early_loading_moderate_ice_preregistered_v0,v5_pair_075,control,0.2,left,early_loading,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,0,none,36,0.037000000000000026,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.00670216791331768,,True,,True,False,True
control_0p20_left_early_loading_moderate_ice_preregistered_v1,v5_pair_076,control,0.2,left,early_loading,none,moderate_ice_preregistered,hard_normal,hard_normal,1,none,39,0.04000000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.008798519149422646,,True,,True,False,True
control_0p20_left_early_loading_moderate_ice_preregistered_v2,v5_pair_077,control,0.2,left,early_loading,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,2,none,44,0.04500000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.006551453843712807,,True,,True,False,True
control_0p20_left_mid_loading_early_stance_native_strong_ice_v0,v5_pair_078,control,0.2,left,mid_loading_early_stance,none,native_strong_ice,near_slip_non_event,near_slip_non_event,0,none,36,0.037000000000000026,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.0032968579325824976,,True,,True,False,True
control_0p20_left_mid_loading_early_stance_native_strong_ice_v1,v5_pair_079,control,0.2,left,mid_loading_early_stance,none,native_strong_ice,hard_normal,hard_normal,1,none,39,0.04000000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.008778983727097511,,True,,True,False,True
control_0p20_left_mid_loading_early_stance_native_strong_ice_v2,v5_pair_080,control,0.2,left,mid_loading_early_stance,none,native_strong_ice,near_slip_non_event,near_slip_non_event,2,none,44,0.04500000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.004671345464885235,,True,,True,False,True
control_0p20_left_mid_loading_early_stance_moderate_ice_preregistered_v0,v5_pair_081,control,0.2,left,mid_loading_early_stance,none,moderate_ice_preregistered,hard_normal,hard_normal,0,none,36,0.037000000000000026,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.003351882565766573,,True,,True,False,True
