pair_id,positive_run_id,control_run_id,speed_mps,target_foot,target_phase,severity,category,history_start_sample,history_end_sample_inclusive,future_sample_count,finite_comparison_values,mean_absolute_pair_difference,maximum_absolute_pair_difference,positive_mean,control_mean
v5_pair_007,positive_0p10_left_mid_loading_early_stance_native_strong_ice_v1,control_0p10_left_mid_loading_early_stance_native_strong_ice_v1,0.1,left,mid_loading_early_stance,native_strong_ice,contact_anchor_drift_label_only,242,442,0,139,0.008260492543629604,0.04495812160894275,0.015076418146792558,0.006815925603162953
v5_pair_008,positive_0p10_left_mid_loading_early_stance_native_strong_ice_v2,control_0p10_left_mid_loading_early_stance_native_strong_ice_v2,0.1,left,mid_loading_early_stance,native_strong_ice,target_foot_fsr,101,301,0,804,26.505748684448537,160.94854736328125,76.34624417029804,79.33762757608028
v5_pair_008,positive_0p10_left_mid_loading_early_stance_native_strong_ice_v2,control_0p10_left_mid_loading_early_stance_native_strong_ice_v2,0.1,left,mid_loading_early_stance,native_strong_ice,target_foot_imu,101,301,0,1206,3.322064161873962,78.2982080578804,2.692241214280901,1.6193163776502713
v5_pair_008,positive_0p10_left_mid_loading_early_stance_native_strong_ice_v2,control_0p10_left_mid_loading_early_stance_native_strong_ice_v2,0.1,left,mid_loading_early_stance,native_strong_ice,contralateral_fsr,101,301,0,804,0.19329089078292325,15.413002014160156,4.680963370077942,4.528455153404184
v5_pair_008,positive_0p10_left_mid_loading_early_stance_native_strong_ice_v2,control_0p10_left_mid_loading_early_stance_native_strong_ice_v2,0.1,left,mid_loading_early_stance,native_strong_ice,contralateral_imu,101,301,0,1206,0.7658415505989242,26.408592224121094,2.5323172305291144,2.2927065815020975
v5_pair_008,positive_0p10_left_mid_loading_early_stance_native_strong_ice_v2,control_0p10_left_mid_loading_early_stance_native_strong_ice_v2,0.1,left,mid_loading_early_stance,native_strong_ice,bilateral_asymmetry,101,301,0,2010,12.667718580261827,160.94854736328125,28.762066709388193,29.519634851421205
v5_pair_008,positive_0p10_left_mid_loading_early_stance_native_strong_ice_v2,control_0p10_left_mid_loading_early_stance_native_strong_ice_v2,0.1,left,mid_loading_early_stance,native_strong_ice,contact_anchor_drift_label_only,101,301,0,201,0.007023000612447214,0.050223985919728875,0.009440571984822923,0.0041348419003929965
v5_pair_009,positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v0,control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v0,0.1,left,mid_loading_early_stance,moderate_ice_preregistered,target_foot_fsr,1690,1890,0,804,57.03055649106182,286.53887939453125,76.43883939079977,57.77327290577675
v5_pair_009,positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v0,control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v0,0.1,left,mid_loading_early_stance,moderate_ice_preregistered,target_foot_imu,1690,1890,0,1206,4.972740064978853,81.05753922462463,1.9067583420568082,0.9666012187625745
v5_pair_009,positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v0,control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v0,0.1,left,mid_loading_early_stance,moderate_ice_preregistered,contralateral_fsr,1690,1890,0,804,25.408954551841934,92.16484069824219,11.009505939720874,31.197715347957107
