run_id,pair_id,role,fall_occurred,first_fall_sample,first_fall_time_s,fall_reason,pre_fall_valid_sample_count,post_fall_stored_sample_count,post_fall_excluded_from_labels
control_0p20_right_early_loading_native_strong_ice_v1,v5_pair_091,control,False,,,,3000,0,True
positive_0p20_right_early_loading_native_strong_ice_v2,v5_pair_092,positive,True,1506,1.5069999999998895,fallen_base_height,1506,1494,True
control_0p20_right_early_loading_native_strong_ice_v2,v5_pair_092,control,False,,,,3000,0,True
positive_0p20_right_early_loading_moderate_ice_preregistered_v0,v5_pair_093,positive,True,1789,1.7899999999998584,fallen_base_height,1789,1211,True
control_0p20_right_early_loading_moderate_ice_preregistered_v0,v5_pair_093,control,False,,,,3000,0,True
positive_0p20_right_early_loading_moderate_ice_preregistered_v1,v5_pair_094,positive,True,2462,2.46299999999999,fallen_base_height,2462,538,True
control_0p20_right_early_loading_moderate_ice_preregistered_v1,v5_pair_094,control,False,,,,3000,0,True
positive_0p20_right_early_loading_moderate_ice_preregistered_v2,v5_pair_095,positive,True,2107,2.1079999999998713,fallen_base_height,2107,893,True
control_0p20_right_early_loading_moderate_ice_preregistered_v2,v5_pair_095,control,False,,,,3000,0,True
positive_0p20_right_mid_loading_early_stance_native_strong_ice_v0,v5_pair_096,positive,False,,,,3000,0,True
control_0p20_right_mid_loading_early_stance_native_strong_ice_v0,v5_pair_096,control,False,,,,3000,0,True
positive_0p20_right_mid_loading_early_stance_native_strong_ice_v1,v5_pair_097,positive,False,,,,3000,0,True
control_0p20_right_mid_loading_early_stance_native_strong_ice_v1,v5_pair_097,control,False,,,,3000,0,True
positive_0p20_right_mid_loading_early_stance_native_strong_ice_v2,v5_pair_098,positive,False,,,,3000,0,True
control_0p20_right_mid_loading_early_stance_native_strong_ice_v2,v5_pair_098,control,False,,,,3000,0,True
positive_0p20_right_mid_loading_early_stance_moderate_ice_preregistered_v0,v5_pair_099,positive,False,,,,3000,0,True
control_0p20_right_mid_loading_early_stance_moderate_ice_preregistered_v0,v5_pair_099,control,False,,,,3000,0,True
positive_0p20_right_mid_loading_early_stance_moderate_ice_preregistered_v1,v5_pair_100,positive,False,,,,3000,0,True
control_0p20_right_mid_loading_early_stance_moderate_ice_preregistered_v1,v5_pair_100,control,False,,,,3000,0,True
positive_0p20_right_mid_loading_early_stance_moderate_ice_preregistered_v2,v5_pair_101,positive,False,,,,3000,0,True
control_0p20_right_mid_loading_early_stance_moderate_ice_preregistered_v2,v5_pair_101,control,False,,,,3000,0,True
positive_0p20_right_mid_late_stance_native_strong_ice_v0,v5_pair_102,positive,False,,,,3000,0,True
