run_id,pair_id,role,speed_mps,target_foot,target_phase,actual_onset_phase,severity,material_profile,control_type,variation_index,actual_first_affected_foot,target_touchdown_sample,target_touchdown_time_s,target_physical_onset_sample,target_physical_onset_time_s,touchdown_to_onset_ms,target_contact_episode_id,contralateral_physical_slip_contamination,valid_target_positive,wrong_foot_onset,bilateral_ambiguous,no_onset,fall_occurred,first_fall_sample,fall_reason,post_fall_excluded_sample_count,discarded,replaced,silently_relabelled,target_foot_patch_contact,target_foot_physical_slip,target_first,valid_pre_fall_duration_s,maximum_target_anchor_drift_m,source_valid,failure_reason,failed_attempt_preserved,development_only
positive_0p15_right_early_loading_moderate_ice_preregistered_v0,v5_pair_057,positive,0.15,right,early_loading,mid_loading_early_stance,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,0,right,204,0.20500000000000015,325,0.32600000000000023,122,1,False,False,False,False,False,True,1770,fallen_base_height,1230,False,False,False,True,True,True,1.77,0.08940499275922775,False,OTHER_WITH_EVIDENCE,True,True
positive_0p15_right_early_loading_moderate_ice_preregistered_v1,v5_pair_058,positive,0.15,right,early_loading,early_loading,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,1,right,597,0.5979999999999895,670,0.6709999999999815,74,9,False,True,False,False,False,True,2685,fallen_base_height,315,False,False,False,True,True,True,2.685,0.1422950178384781,True,,True,True
positive_0p15_right_early_loading_moderate_ice_preregistered_v2,v5_pair_059,positive,0.15,right,early_loading,early_loading,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,2,right,369,0.3700000000000003,468,0.46900000000000036,100,2,False,True,False,False,False,True,2046,fallen_base_height,954,False,False,False,True,True,True,2.046,0.06963347643613815,True,,True,True
positive_0p15_right_mid_loading_early_stance_native_strong_ice_v0,v5_pair_060,positive,0.15,right,mid_loading_early_stance,mid_loading_early_stance,native_strong_ice,native_strong_ice,hard_normal,0,right,197,0.19800000000000015,366,0.36700000000000027,170,1,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.10746653378009796,True,,True,True
positive_0p15_right_mid_loading_early_stance_native_strong_ice_v1,v5_pair_061,positive,0.15,right,mid_loading_early_stance,mid_loading_early_stance,native_strong_ice,native_strong_ice,near_slip_non_event,1,right,37,0.03800000000000003,193,0.19400000000000014,157,0,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.08871487528085709,True,,True,True
positive_0p15_right_mid_loading_early_stance_native_strong_ice_v2,v5_pair_062,positive,0.15,right,mid_loading_early_stance,mid_loading_early_stance,native_strong_ice,native_strong_ice,hard_normal,2,right,370,0.3710000000000003,603,0.6039999999999889,234,1,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.16278646886348724,True,,True,True
positive_0p15_right_mid_loading_early_stance_moderate_ice_preregistered_v0,v5_pair_063,positive,0.15,right,mid_loading_early_stance,mid_loading_early_stance,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,0,right,829,0.829999999999964,999,0.9999999999999453,171,3,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.06551017612218857,True,,True,True
positive_0p15_right_mid_loading_early_stance_moderate_ice_preregistered_v1,v5_pair_064,positive,0.15,right,mid_loading_early_stance,mid_loading_early_stance,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,1,right,37,0.03800000000000003,217,0.21800000000000017,181,0,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.05665798485279083,True,,True,True
positive_0p15_right_mid_loading_early_stance_moderate_ice_preregistered_v2,v5_pair_065,positive,0.15,right,mid_loading_early_stance,mid_loading_early_stance,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,2,right,1560,1.5609999999998836,1793,1.793999999999858,234,8,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.06908426433801651,True,,True,True
positive_0p15_right_mid_late_stance_native_strong_ice_v0,v5_pair_066,positive,0.15,right,mid_late_stance,mid_loading_early_stance,native_strong_ice,native_strong_ice,near_slip_non_event,0,right,816,0.8169999999999654,1075,1.075999999999937,260,3,False,False,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.06462785601615906,False,OTHER_WITH_EVIDENCE,True,True
positive_0p15_right_mid_late_stance_native_strong_ice_v1,v5_pair_067,positive,0.15,right,mid_late_stance,mid_late_stance,native_strong_ice,native_strong_ice,hard_normal,1,right,1814,1.8149999999998556,2074,2.0749999999998603,261,6,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.06712273508310318,True,,True,True
positive_0p15_right_mid_late_stance_native_strong_ice_v2,v5_pair_068,positive,0.15,right,mid_late_stance,mid_late_stance,native_strong_ice,native_strong_ice,near_slip_non_event,2,right,365,0.36600000000000027,638,0.638999999999985,274,1,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.06885223835706711,True,,True,True
positive_0p15_right_mid_late_stance_moderate_ice_preregistered_v0,v5_pair_069,positive,0.15,right,mid_late_stance,mid_late_stance,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,0,right,197,0.19800000000000015,532,0.5329999999999967,336,1,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.056301455944776535,True,,True,True
positive_0p15_right_mid_late_stance_moderate_ice_preregistered_v1,v5_pair_070,positive,0.15,right,mid_late_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,1,none,37,0.03800000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,True,False,False,3.0,0.03703926503658295,False,NO_PHYSICAL_ONSET,True,True
positive_0p15_right_mid_late_stance_moderate_ice_preregistered_v2,v5_pair_071,positive,0.15,right,mid_late_stance,mid_late_stance,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,2,right,365,0.36600000000000027,682,0.6829999999999802,318,1,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.06433838605880737,True,,True,True
positive_0p20_left_early_loading_native_strong_ice_v0,v5_pair_072,positive,0.2,left,early_loading,early_loading,native_strong_ice,native_strong_ice,hard_normal,0,left,36,0.037000000000000026,134,0.1350000000000001,99,0,False,True,False,False,False,True,1615,fallen_base_height,1385,False,False,False,True,True,True,1.615,0.157510444521904,True,,True,True
