sample,foot,runtime_episode_id,actionable_score,normal_score,early_score,active_score,persistence,owner_foot,simultaneous_candidate_count,reconciliation_rule,candidate_id,evaluation_scope,outer_fold,run_id,speed_mps,physical_episode_id,physical_event_present,air_firing,touchdown_transient_firing,invalid_firing,postfall_firing,too_early_activation,cross_foot_ownership_violation
2441,1,4,0.9999936819076538,3.855634672049676e-35,1.95559020366165e-11,6.270808171393583e-06,5,1,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,2,sand_solref_interpolation_5of6_stronger_v2_0p10_v02,0.1,4,False,False,False,True,True,False,False
1444,0,2,0.9999508857727051,0.0,4.469284976948984e-05,4.451926542969886e-06,5,0,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,2,sand_solref_interpolation_2of3_0p20_v02,0.2,2,False,False,False,True,True,False,False
1702,0,3,0.9999986886978149,0.0,1.9775163909902876e-22,1.3131764262652723e-06,5,0,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,2,sand_solref_interpolation_2of3_0p20_v02,0.2,3,False,False,False,True,True,False,False
2057,0,5,0.9947502017021179,3.094991379559661e-21,0.0005809760186821222,0.004668880719691515,5,0,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,2,sand_solref_interpolation_2of3_0p20_v02,0.2,4,False,False,False,True,True,False,False
1442,0,2,0.9999556541442871,0.0,1.2307739893913094e-07,4.417944364831783e-05,5,0,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,2,sand_solref_interpolation_3of4_stronger_v2_0p20_v02,0.2,2,False,False,False,True,True,False,False
1795,0,3,0.9998650550842285,0.0,0.0,0.00013488854165188968,5,0,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,2,sand_solref_interpolation_3of4_stronger_v2_0p20_v02,0.2,3,False,False,False,True,True,False,False
1442,0,2,0.9999456405639648,0.0,3.0062527467400457e-10,5.429987868410535e-05,5,0,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,2,sand_solref_interpolation_5of6_stronger_v2_0p20_v02,0.2,2,False,False,False,True,True,False,False
1800,0,3,0.9994274377822876,8.295957914768518e-14,0.0005701083573512733,2.4562812086514896e-06,5,0,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,2,sand_solref_interpolation_5of6_stronger_v2_0p20_v02,0.2,3,False,False,False,True,True,False,False
2247,1,88,0.9999994039535522,1.5309465495859766e-25,5.602286137218471e-07,3.806822945762178e-08,5,1,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,2,positive_0p10_left_early_loading_native_strong_ice_v2,0.1,88,False,False,False,True,True,False,False
2301,1,89,0.9999995231628418,0.0,0.0,4.82306631965912e-07,5,1,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,2,positive_0p10_left_early_loading_native_strong_ice_v2,0.1,89,False,False,False,True,True,False,False
2773,1,92,1.0,0.0,9.567590860196096e-14,9.476522451685229e-15,5,1,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,2,positive_0p10_left_early_loading_native_strong_ice_v2,0.1,92,False,False,False,True,True,False,False
1931,1,101,0.9990074038505554,6.572089797683392e-43,0.000982842524535954,9.756470717547927e-06,5,1,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,2,positive_0p15_right_early_loading_native_strong_ice_v2,0.15,100,False,False,False,True,True,False,False
2716,0,27,0.9999996423721313,0.0,0.0,3.1279114409699105e-07,5,0,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,2,positive_0p15_right_early_loading_native_strong_ice_v2,0.15,27,False,False,False,True,True,False,False
1887,1,100,1.0,0.0,0.0,6.326527641809265e-26,5,1,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,2,positive_0p20_right_early_loading_native_strong_ice_v2,0.2,99,False,False,False,True,True,False,False
1947,0,34,1.0,0.0,0.0,9.394197572536129e-17,5,0,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,2,positive_0p20_right_early_loading_native_strong_ice_v2,0.2,34,False,False,False,True,True,False,False
1853,0,13,0.9998152852058411,8.003586854432401e-22,4.002900823252276e-06,0.000180670918780379,5,0,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,2,positive_0p10_right_early_loading_v2_M1,0.1,13,False,False,False,True,True,False,False
1703,1,84,0.9999935626983643,0.0,3.4616191823529925e-34,6.441985988203669e-06,5,1,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,2,positive_0p15_right_early_loading_v2_M1,0.15,81,True,False,False,False,False,False,False
1854,0,24,1.0,3.4429903268460755e-42,1.0204202527440767e-14,4.395270369883519e-09,5,0,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,2,positive_0p15_right_early_loading_v2_M1,0.15,24,False,False,False,True,True,False,False
444,0,6,0.9978100657463074,1.931886441754129e-17,0.001980301458388567,0.00020965025760233402,5,0,1,highest_actionable_score_then_left,R1_seed_202608232,OUT_OF_FOLD_ONCE,0,ice_native_0p10_v00,0.1,6,False,False,False,False,False,False,False
2067,0,63,0.9999945163726807,1.9810016260313506e-40,2.497488514584246e-37,5.48965090274578e-06,5,0,1,highest_actionable_score_then_left,R1_seed_202608232,OUT_OF_FOLD_ONCE,0,ice_native_0p10_v00,0.1,62,False,False,False,False,False,False,False
455,0,7,0.9995054006576538,4.718989600859249e-23,5.984171366435476e-06,0.0004885782836936414,5,0,1,highest_actionable_score_then_left,R1_seed_202608232,OUT_OF_FOLD_ONCE,0,ice_native_0p15_v00,0.15,7,True,False,False,False,False,False,False
1583,0,38,0.9984922409057617,1.8845229021735577e-07,0.000641306338366121,0.0008662422187626362,5,0,1,highest_actionable_score_then_left,R1_seed_202608232,OUT_OF_FOLD_ONCE,0,ice_native_0p15_v00,0.15,37,True,False,False,False,False,False,False
2208,0,43,0.9996028542518616,3.3196637551967473e-29,0.00039719248889014125,1.7935000706792437e-11,5,0,1,highest_actionable_score_then_left,R1_seed_202608232,OUT_OF_FOLD_ONCE,0,ice_native_0p15_v00,0.15,40,True,False,False,False,False,False,False
2794,0,65,0.9996269941329956,1.6235617518911734e-14,0.0002954599913209677,7.760610606055707e-05,5,0,1,highest_actionable_score_then_left,R1_seed_202608232,OUT_OF_FOLD_ONCE,0,ice_native_0p15_v00,0.15,57,False,False,False,False,False,False,False
474,0,5,0.992926299571991,2.6913938268248623e-15,0.006972623523324728,0.00010105949331773445,5,0,1,highest_actionable_score_then_left,R1_seed_202608232,OUT_OF_FOLD_ONCE,0,ice_native_0p20_v00,0.2,6,True,False,False,False,False,False,False
