candidate_id,evaluation_scope,outer_fold,config_id,threshold,persistence_ms,actionable_margin,hysteresis,actionable_episode_count,actionable_episode_detected,actionable_episode_recall,affected_foot_accuracy,crossing_count,median_warning_margin_ms,p95_warning_margin_ms,median_late_latency_ms,p95_late_latency_ms,normal_run_fp,normal_contact_episode_fp,too_early_activation,air_firing,touchdown_transient_firing,invalid_firing,postfall_firing,latch_carryover,cross_foot_ownership_violation,worst_speed_recall,safety_total,selected
R1_seed_202608231,INNER_TRAIN_CONFIG,2,t0.70_p3_m0.10_h0.05,0.7,3,0.1,0.05,353,161,0.45609065155807366,1.0,467,30.0,74.89999999999999,0.0,91.0,20,285,18,0,0,59,59,0,11,0.44642857142857145,452,False
R1_seed_202608231,INNER_TRAIN_CONFIG,2,t0.70_p3_m0.00_h0.05,0.7,3,0.0,0.05,353,161,0.45609065155807366,1.0,467,30.0,74.89999999999999,0.0,91.0,20,285,18,0,0,59,59,0,11,0.44642857142857145,452,False
R1_seed_202608232,INNER_TRAIN_CONFIG,0,t0.99_p5_m0.10_h0.05,0.99,5,0.1,0.05,301,26,0.08637873754152824,1.0,99,42.5,70.64999999999998,0.0,6.0,0,68,5,0,0,41,41,0,3,0.08163265306122448,158,True
R1_seed_202608232,INNER_TRAIN_CONFIG,0,t0.99_p5_m0.00_h0.05,0.99,5,0.0,0.05,301,26,0.08637873754152824,1.0,99,42.5,70.64999999999998,0.0,6.0,0,68,5,0,0,41,41,0,3,0.08163265306122448,158,False
R1_seed_202608232,INNER_TRAIN_CONFIG,0,t0.99_p3_m0.10_h0.05,0.99,3,0.1,0.05,301,33,0.10963455149501661,1.0,124,44.5,69.94999999999997,0.0,78.79999999999974,0,85,6,0,0,47,47,0,5,0.10204081632653061,190,False
R1_seed_202608232,INNER_TRAIN_CONFIG,0,t0.99_p3_m0.00_h0.05,0.99,3,0.0,0.05,301,33,0.10963455149501661,1.0,124,44.5,69.94999999999997,0.0,78.79999999999974,0,85,6,0,0,47,47,0,5,0.10204081632653061,190,False
R1_seed_202608232,INNER_TRAIN_CONFIG,0,t0.95_p5_m0.10_h0.05,0.95,5,0.1,0.05,301,38,0.12624584717607973,1.0,141,41.5,67.6,0.0,183.24999999999997,0,95,8,0,0,48,48,0,8,0.12149532710280374,207,False
R1_seed_202608232,INNER_TRAIN_CONFIG,0,t0.95_p5_m0.00_h0.05,0.95,5,0.0,0.05,301,38,0.12624584717607973,1.0,141,41.5,67.6,0.0,183.24999999999997,0,95,8,0,0,48,48,0,8,0.12149532710280374,207,False
R1_seed_202608232,INNER_TRAIN_CONFIG,0,t0.95_p3_m0.10_h0.05,0.95,3,0.1,0.05,301,53,0.1760797342192691,1.0,187,42.0,72.39999999999998,0.0,152.59999999999994,0,125,9,0,0,56,56,0,9,0.1588785046728972,255,False
R1_seed_202608232,INNER_TRAIN_CONFIG,0,t0.95_p3_m0.00_h0.05,0.95,3,0.0,0.05,301,53,0.1760797342192691,1.0,187,42.0,72.39999999999998,0.0,152.59999999999994,0,125,9,0,0,56,56,0,9,0.1588785046728972,255,False
R1_seed_202608232,INNER_TRAIN_CONFIG,0,t0.85_p5_m0.10_h0.05,0.85,5,0.1,0.05,301,68,0.22591362126245848,1.0,204,31.5,72.35,0.0,112.89999999999993,0,126,10,0,0,55,55,0,9,0.1875,255,False
R1_seed_202608232,INNER_TRAIN_CONFIG,0,t0.85_p5_m0.00_h0.05,0.85,5,0.0,0.05,301,68,0.22591362126245848,1.0,204,31.5,72.35,0.0,112.89999999999993,0,126,10,0,0,55,55,0,9,0.1875,255,False
R1_seed_202608232,INNER_TRAIN_CONFIG,0,t0.70_p5_m0.10_h0.05,0.7,5,0.1,0.05,301,82,0.2724252491694352,1.0,284,39.5,86.0,0.0,83.95,1,190,11,0,0,58,58,0,13,0.24489795918367346,331,False
R1_seed_202608232,INNER_TRAIN_CONFIG,0,t0.70_p5_m0.00_h0.05,0.7,5,0.0,0.05,301,82,0.2724252491694352,1.0,284,39.5,86.0,0.0,83.95,1,190,11,0,0,58,58,0,13,0.24489795918367346,331,False
R1_seed_202608232,INNER_TRAIN_CONFIG,0,t0.85_p3_m0.10_h0.05,0.85,3,0.1,0.05,301,79,0.26245847176079734,1.0,278,39.0,82.0,0.0,51.499999999999915,3,188,11,0,0,62,62,0,11,0.23958333333333334,337,False
R1_seed_202608232,INNER_TRAIN_CONFIG,0,t0.85_p3_m0.00_h0.05,0.85,3,0.0,0.05,301,79,0.26245847176079734,1.0,278,39.0,82.0,0.0,51.499999999999915,3,188,11,0,0,62,62,0,11,0.23958333333333334,337,False
R1_seed_202608232,INNER_TRAIN_CONFIG,0,t0.70_p3_m0.10_h0.05,0.7,3,0.1,0.05,301,102,0.3388704318936877,1.0,459,42.5,89.0,0.0,80.19999999999982,22,339,14,0,0,73,73,0,16,0.30612244897959184,537,False
R1_seed_202608232,INNER_TRAIN_CONFIG,0,t0.70_p3_m0.00_h0.05,0.7,3,0.0,0.05,301,102,0.3388704318936877,1.0,459,42.5,89.0,0.0,80.19999999999982,22,339,14,0,0,73,73,0,16,0.30612244897959184,537,False
R1_seed_202608232,INNER_TRAIN_CONFIG,1,t0.99_p5_m0.10_h0.05,0.99,5,0.1,0.05,288,9,0.03125,1.0,45,38.5,73.6,0.0,7.799999999999995,0,33,3,0,0,28,28,0,2,0.021739130434782608,94,True
R1_seed_202608232,INNER_TRAIN_CONFIG,1,t0.99_p5_m0.00_h0.05,0.99,5,0.0,0.05,288,9,0.03125,1.0,45,38.5,73.6,0.0,7.799999999999995,0,33,3,0,0,28,28,0,2,0.021739130434782608,94,False
R1_seed_202608232,INNER_TRAIN_CONFIG,1,t0.99_p3_m0.10_h0.05,0.99,3,0.1,0.05,288,19,0.06597222222222222,1.0,77,56.0,78.0,0.0,11.999999999999979,0,53,5,0,0,30,30,0,5,0.05154639175257732,123,False
R1_seed_202608232,INNER_TRAIN_CONFIG,1,t0.99_p3_m0.00_h0.05,0.99,3,0.0,0.05,288,19,0.06597222222222222,1.0,77,56.0,78.0,0.0,11.999999999999979,0,53,5,0,0,30,30,0,5,0.05154639175257732,123,False
R1_seed_202608232,INNER_TRAIN_CONFIG,1,t0.95_p5_m0.10_h0.05,0.95,5,0.1,0.05,288,21,0.07291666666666667,1.0,80,50.0,75.6,0.0,13.0,0,54,5,0,0,31,31,0,4,0.06060606060606061,125,False
R1_seed_202608232,INNER_TRAIN_CONFIG,1,t0.95_p5_m0.00_h0.05,0.95,5,0.0,0.05,288,21,0.07291666666666667,1.0,80,50.0,75.6,0.0,13.0,0,54,5,0,0,31,31,0,4,0.06060606060606061,125,False
R1_seed_202608232,INNER_TRAIN_CONFIG,1,t0.95_p3_m0.10_h0.05,0.95,3,0.1,0.05,288,39,0.13541666666666666,1.0,127,51.5,84.25,0.0,12.700000000000024,0,81,6,0,0,33,33,0,5,0.1111111111111111,158,False
R1_seed_202608232,INNER_TRAIN_CONFIG,1,t0.95_p3_m0.00_h0.05,0.95,3,0.0,0.05,288,39,0.13541666666666666,1.0,127,51.5,84.25,0.0,12.700000000000024,0,81,6,0,0,33,33,0,5,0.1111111111111111,158,False
R1_seed_202608232,INNER_TRAIN_CONFIG,1,t0.85_p5_m0.10_h0.05,0.85,5,0.1,0.05,288,43,0.14930555555555555,1.0,134,50.0,86.25,0.0,50.29999999999999,0,82,8,0,0,34,34,0,6,0.12121212121212122,164,False
R1_seed_202608232,INNER_TRAIN_CONFIG,1,t0.85_p5_m0.00_h0.05,0.85,5,0.0,0.05,288,43,0.14930555555555555,1.0,134,50.0,86.25,0.0,50.29999999999999,0,82,8,0,0,34,34,0,6,0.12121212121212122,164,False
R1_seed_202608232,INNER_TRAIN_CONFIG,1,t0.85_p3_m0.10_h0.05,0.85,3,0.1,0.05,288,58,0.2013888888888889,1.0,214,53.0,86.0,0.0,60.89999999999999,13,144,11,0,0,36,36,0,9,0.18181818181818182,249,False
R1_seed_202608232,INNER_TRAIN_CONFIG,1,t0.85_p3_m0.00_h0.05,0.85,3,0.0,0.05,288,58,0.2013888888888889,1.0,214,53.0,86.0,0.0,60.89999999999999,13,144,11,0,0,36,36,0,9,0.18181818181818182,249,False
R1_seed_202608232,INNER_TRAIN_CONFIG,1,t0.70_p5_m0.10_h0.05,0.7,5,0.1,0.05,288,88,0.3055555555555556,1.0,289,51.0,86.0,0.0,90.29999999999998,3,184,14,0,0,39,39,0,7,0.2222222222222222,286,False
